Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label-I,Label-II
144.122.71.200-144.122.171.91-44608-53-17,144.122.71.200,44608,144.122.171.91,53,17,2022-06-13 19:38:47.554806,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-41306-30006-6,144.122.71.200,41306,144.122.71.18,30006,6,2022-06-13 19:38:39.723574,39051,5,0,520,0,520,0,104,232.551069659978,0,0,0,0,13315.9202069089,128.037694297201,9762.75,18606.2161722904,37667,203,39051,9762.75,18606.2161722904,37667,203,0,0,0,0,0,1,0,0,0,0,0,168,0,128.037694297201,0,0,520,104,232.551069659978,54080,1,1,0,1,4,0,0,0,0,104,104,0,0,0,0,0,0,0,1,104,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,39051,CVE-2020-17518,CWE-22
144.122.71.200-144.122.71.18-41320-30006-6,144.122.71.200,41320,144.122.71.18,30006,6,2022-06-13 19:38:47.661527,4857,6,0,359,0,359,0,59.8333333333333,146.561136276527,0,0,0,0,73913.9386452543,1235.33045089561,971.4,1319.75842486419,3290,65,4857,971.4,1319.75842486419,3290,65,0,0,0,0,0,1,0,0,0,0,0,200,0,1235.33045089561,0,0,359,59.8333333333333,146.561136276527,21480.1666666667,1,1,0,1,5,0,0,0,0,59.8333333333333,59.8333333333333,0,0,0,0,0,0,0,1,59,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,4857,CVE-2020-17518,CWE-22
144.122.71.200-144.122.71.18-41312-30006-6,144.122.71.200,41312,144.122.71.18,30006,6,2022-06-13 19:38:43.030606,38425,5,0,551,0,551,0,110.2,246.414691120477,0,0,0,0,14339.6226415094,130.123617436565,9606.25,18419.1898188637,37230,116,38425,9606.25,18419.1898188637,37230,116,0,0,0,0,0,1,0,0,0,0,0,168,0,130.123617436565,0,0,551,110.2,246.414691120477,60720.2,1,1,0,1,4,0,0,0,0,110.2,110.2,0,0,0,0,0,0,0,1,110,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,38425,CVE-2020-17518,CWE-22
144.122.71.200-144.122.71.18-41318-30006-6,144.122.71.200,41318,144.122.71.18,30006,6,2022-06-13 19:38:47.617192,41643,5,0,1026,0,1026,0,205.2,458.841148982957,0,0,0,0,24637.9943808083,120.068198736883,10410.75,18385.1626295953,37929,70,41643,10410.75,18385.1626295953,37929,70,0,0,0,0,0,1,0,0,0,0,0,168,0,120.068198736883,0,0,1026,205.2,458.841148982957,210535.2,1,1,0,1,4,0,0,0,0,205.2,205.2,0,0,0,0,0,0,0,1,205,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,41643,CVE-2020-17518,CWE-22
144.122.71.200-172.66.40.212-54204-443-6,144.122.71.200,54204,172.66.40.212,443,6,2022-06-13 19:38:42.963581,134449,14,0,557,0,289,0,39.7857142857143,79.1213076148348,0,0,0,0,4142.83482956363,104.128703077003,10342.2307692308,15574.2021098666,57393,9,134449,10342.2307692308,15574.2021098666,57393,9,0,0,0,0,0,5,0,0,0,0,0,300,0,104.128703077003,0,0,289,39.7857142857143,79.1213076148348,6260.18131868132,1,1,0,5,13,0,0,0,0,39.7857142857143,39.7857142857143,0,557,5,15695,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,134449,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-41314-30006-6,144.122.71.200,41314,144.122.71.18,30006,6,2022-06-13 19:38:43.071191,5743,6,0,358,0,358,0,59.6666666666667,146.152887986063,0,0,0,0,62336.7577920947,1044.75013059377,1148.6,1650.64148136414,4024,62,5743,1148.6,1650.64148136414,4024,62,0,0,0,0,0,1,0,0,0,0,0,200,0,1044.75013059377,0,0,358,59.6666666666667,146.152887986063,21360.6666666667,1,1,0,1,5,0,0,0,0,59.6666666666667,59.6666666666667,0,0,0,0,0,0,0,1,59,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,5743,CVE-2020-17518,CWE-22
144.122.71.200-144.122.171.91-53-44608-17,144.122.71.200,53,144.122.171.91,44608,17,2022-06-13 19:38:47.555791,0,1,0,108,0,108,108,108,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,108,108,108,0,0,0,0,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-172.66.40.212-54210-443-6,144.122.71.200,54210,172.66.40.212,443,6,2022-06-13 19:38:47.555004,125586,14,0,557,0,289,0,39.7857142857143,79.1213076148348,0,0,0,0,4435.20774608635,111.477393977036,9660.46153846154,15308.9267183964,56564,8,125586,9660.46153846154,15308.9267183964,56564,8,0,0,0,0,0,5,0,0,0,0,0,300,0,111.477393977036,0,0,289,39.7857142857143,79.1213076148348,6260.18131868132,1,1,0,5,13,0,0,0,0,39.7857142857143,39.7857142857143,0,557,5,16843,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,125586,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-41308-30006-6,144.122.71.200,41308,144.122.71.18,30006,6,2022-06-13 19:38:39.766186,2148,6,0,365,0,365,0,60.8333333333333,149.01062601931,0,0,0,0,169925.512104283,2793.29608938547,429.6,582.101623430136,1451,10,2148,429.6,582.101623430136,1451,10,0,0,0,0,0,1,0,0,0,0,0,200,0,2793.29608938547,0,0,365,60.8333333333333,149.01062601931,22204.1666666667,1,1,0,1,5,0,0,0,0,60.8333333333333,60.8333333333333,0,0,0,0,0,0,0,1,60,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,2148,CVE-2020-17518,CWE-22
