Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label-I,Label-II
144.122.71.200-144.122.71.18-51826-30003-6,144.122.71.200,51826,144.122.71.18,30003,6,2022-06-13 17:30:40.500062,237671,36,0,1092,0,504,0,30.3333333333333,104.211049592367,0,0,0,0,4594.58663446529,151.469889048306,6790.6,10988.2342161166,55394,5,237671,6790.6,10988.2342161166,55394,5,0,0,0,0,0,4,0,0,0,0,0,1160,0,151.469889048306,0,0,504,30.3333333333333,104.211049592367,10859.9428571429,1,1,0,4,35,0,0,0,0,30.3333333333333,30.3333333333333,0,1092,4,4603,0,0,0,1,30,0,0,64240,0,4,32,0,0,0,0,0,0,0,0,237671,CVE-2019-15107,CWE-79
144.122.71.200-144.122.171.91-42984-53-17,144.122.71.200,42984,144.122.171.91,53,17,2022-06-13 17:30:57.329333,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-36749-17,144.122.71.200,53,144.122.171.91,36749,17,2022-06-13 17:30:48.826620,0,1,0,108,0,108,108,108,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,108,108,108,0,0,0,0,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-43397-17,144.122.71.200,53,144.122.171.91,43397,17,2022-06-13 17:30:40.413453,0,1,0,108,0,108,108,108,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,108,108,108,0,0,0,0,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-33526-53-17,144.122.71.200,33526,144.122.171.91,53,17,2022-06-13 17:30:48.825425,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-43789-17,144.122.71.200,53,144.122.171.91,43789,17,2022-06-13 17:30:20.044850,0,1,0,84,0,84,84,84,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,84,84,84,0,0,0,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,1,84,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-51822-30003-6,144.122.71.200,51822,144.122.71.18,30003,6,2022-06-13 17:30:26.131930,5002206,10,0,1421,0,833,0,142.1,268.983869817917,0,0,0,0,284.074666257247,1.99911798914319,555800.666666667,1664925.07049709,4995600,137,5002206,555800.666666667,1664925.07049709,4995600,137,0,0,0,0,0,4,0,0,0,0,0,328,0,1.99911798914319,0,0,833,142.1,268.983869817917,72352.3222222222,1,1,0,4,9,0,0,0,0,142.1,142.1,0,0,0,0,0,0,0,1,142,0,0,64240,0,4,32,0,0,0,0,0,0,0,0,5002206,CVE-2019-15107,CWE-79
144.122.71.200-144.122.171.91-53-39759-17,144.122.71.200,53,144.122.171.91,39759,17,2022-06-13 17:30:40.413449,0,1,0,84,0,84,84,84,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,84,84,84,0,0,0,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,1,84,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-47028-53-17,144.122.71.200,47028,144.122.171.91,53,17,2022-06-13 17:30:20.043878,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-36749-53-17,144.122.71.200,36749,144.122.171.91,53,17,2022-06-13 17:30:48.825593,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-47028-17,144.122.71.200,53,144.122.171.91,47028,17,2022-06-13 17:30:20.044855,0,1,0,108,0,108,108,108,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,108,108,108,0,0,0,0,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-33670-17,144.122.71.200,53,144.122.171.91,33670,17,2022-06-13 17:30:09.665225,0,1,0,84,0,84,84,84,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,84,84,84,0,0,0,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,1,84,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-39759-53-17,144.122.71.200,39759,144.122.171.91,53,17,2022-06-13 17:30:40.412317,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-47821-17,144.122.71.200,53,144.122.171.91,47821,17,2022-06-13 17:30:57.330330,0,1,0,108,0,108,108,108,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,108,108,108,0,0,0,0,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-172.66.43.44-41888-443-6,144.122.71.200,41888,172.66.43.44,443,6,2022-06-13 17:30:09.664619,63585,13,0,557,0,289,0,42.8461538461538,81.485015139642,0,0,0,0,8759.92765589369,204.450735236298,5298.75,5073.68225838896,14639,11,63585,5298.75,5073.68225838896,14639,11,0,0,0,0,0,5,0,0,0,0,0,280,0,204.450735236298,0,0,289,42.8461538461538,81.485015139642,6639.80769230769,1,1,0,5,12,0,0,0,0,42.8461538461538,42.8461538461538,0,557,5,21096,0,0,0,1,42,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,63585,Normal Traffic,Normal Traffic
144.122.71.200-172.66.43.44-41898-443-6,144.122.71.200,41898,172.66.43.44,443,6,2022-06-13 17:30:40.412568,340089,14,0,557,0,289,0,39.7857142857143,79.1213076148348,0,0,0,0,1637.80657416147,41.1656948622272,26160.6923076923,69645.9585778728,256134,9,340089,26160.6923076923,69645.9585778728,256134,9,0,0,0,0,0,5,0,0,0,0,0,300,0,41.1656948622272,0,0,289,39.7857142857143,79.1213076148348,6260.18131868132,1,1,0,5,13,0,0,0,0,39.7857142857143,39.7857142857143,0,557,5,10337,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,340089,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-54772-30004-6,144.122.71.200,54772,144.122.71.18,30004,6,2022-06-13 17:29:57.775130,14951,5,0,314,0,314,0,62.8,140.425068986987,0,0,0,0,21001.9396695873,334.425790916995,3737.75,6360.9971113026,13266,114,14951,3737.75,6360.9971113026,13266,114,0,0,0,0,0,1,0,0,0,0,0,168,0,334.425790916995,0,0,314,62.8,140.425068986987,19719.2,1,1,0,1,4,0,0,0,0,62.8,62.8,0,0,0,0,0,0,0,1,62,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,14951,CVE-2019-16662,CWE-79
144.122.71.200-144.122.171.91-47071-53-17,144.122.71.200,47071,144.122.171.91,53,17,2022-06-13 17:30:09.664474,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-43789-53-17,144.122.71.200,43789,144.122.171.91,53,17,2022-06-13 17:30:20.043781,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-42984-17,144.122.71.200,53,144.122.171.91,42984,17,2022-06-13 17:30:57.330313,0,1,0,84,0,84,84,84,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,84,84,84,0,0,0,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,1,84,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-172.66.43.44-41892-443-6,144.122.71.200,41892,172.66.43.44,443,6,2022-06-13 17:30:20.044063,11106960,14,0,557,0,289,0,39.7857142857143,79.1213076148348,0,0,0,0,50.1487355676081,1.2604709119327,854381.538461538,3055109.17174811,11022370,28,11106960,854381.538461538,3055109.17174811,11022370,28,0,0,0,0,0,5,0,0,0,0,0,300,0,1.2604709119327,0,0,289,39.7857142857143,79.1213076148348,6260.18131868132,1,1,0,5,13,0,0,0,0,39.7857142857143,39.7857142857143,0,557,5,10766,0,0,0,1,39,0,0,64240,0,5,20,72882,0,72882,72882,11022370,0,11022370,11022370,11106960,Normal Traffic,Normal Traffic
144.122.71.200-172.66.43.44-41906-443-6,144.122.71.200,41906,172.66.43.44,443,6,2022-06-13 17:30:57.329586,333450,14,0,557,0,289,0,39.7857142857143,79.1213076148348,0,0,0,0,1670.41535462588,41.9853051431999,25650,70923.8576808491,260650,26,333450,25650,70923.8576808491,260650,26,0,0,0,0,0,5,0,0,0,0,0,300,0,41.9853051431999,0,0,289,39.7857142857143,79.1213076148348,6260.18131868132,1,1,0,5,13,0,0,0,0,39.7857142857143,39.7857142857143,0,557,5,16578,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,333450,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-47071-17,144.122.71.200,53,144.122.171.91,47071,17,2022-06-13 17:30:09.665228,0,1,0,108,0,108,108,108,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,108,108,108,0,0,0,0,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-33670-53-17,144.122.71.200,33670,144.122.171.91,53,17,2022-06-13 17:30:09.664393,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-54790-30004-6,144.122.71.200,54790,144.122.71.18,30004,6,2022-06-13 17:30:48.926988,8264,5,0,358,0,358,0,71.6,160.102467188985,0,0,0,0,43320.4259438529,605.033881897386,2066,3495.3872460716,7299,147,8264,2066,3495.3872460716,7299,147,0,0,0,0,0,1,0,0,0,0,0,168,0,605.033881897386,0,0,358,71.6,160.102467188985,25632.8,1,1,0,1,4,0,0,0,0,71.6,71.6,0,0,0,0,0,0,0,1,71,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,8264,CVE-2019-16662,CWE-79
144.122.71.200-144.122.171.91-53-33526-17,144.122.71.200,53,144.122.171.91,33526,17,2022-06-13 17:30:48.826612,0,1,0,84,0,84,84,84,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,84,84,84,0,0,0,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,1,84,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-43397-53-17,144.122.71.200,43397,144.122.171.91,53,17,2022-06-13 17:30:40.412398,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
