Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label-I,Label-II
144.122.71.200-144.122.71.18-54874-30004-6,144.122.71.200,54874,144.122.71.18,30004,6,2022-06-13 17:52:58.817679,4585,5,0,357,0,357,0,71.4,159.655253593485,0,0,0,0,77862.5954198473,1090.51254089422,1146.25,1892.6889821979,3983,101,4585,1146.25,1892.6889821979,3983,101,0,0,0,0,0,1,0,0,0,0,0,168,0,1090.51254089422,0,0,357,71.4,159.655253593485,25489.8,1,1,0,1,4,0,0,0,0,71.4,71.4,0,0,0,0,0,0,0,1,71,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,4585,CVE-2019-16662,CWE-79
144.122.71.200-144.122.71.18-51900-30003-6,144.122.71.200,51900,144.122.71.18,30003,6,2022-06-13 17:52:21.185427,238558,37,0,1094,0,506,0,29.5675675675676,103.130860921814,0,0,0,0,4585.88687027893,155.098550457331,6626.61111111111,10119.3676236012,49115,4,238558,6626.61111111111,10119.3676236012,49115,4,0,0,0,0,0,4,0,0,0,0,0,1192,0,155.098550457331,0,0,506,29.5675675675676,103.130860921814,10635.9744744745,1,1,0,4,36,0,0,0,0,29.5675675675676,29.5675675675676,0,1094,4,4603,0,0,0,1,29,0,0,64240,0,4,32,0,0,0,0,0,0,0,0,238558,CVE-2019-15107,CWE-79
144.122.71.200-144.122.71.18-51904-30003-6,144.122.71.200,51904,144.122.71.18,30003,6,2022-06-13 17:52:29.001580,5001279,10,0,1409,0,821,0,140.9,265.564158391569,0,0,0,0,281.727933994484,1.99948853083381,555697.666666667,1665496.31422431,4997021,112,5001279,555697.666666667,1665496.31422431,4997021,112,0,0,0,0,0,4,0,0,0,0,0,328,0,1.99948853083381,0,0,821,140.9,265.564158391569,70524.3222222222,1,1,0,4,9,0,0,0,0,140.9,140.9,0,0,0,0,0,0,0,1,140,0,0,64240,0,4,32,0,0,0,0,0,0,0,0,5001279,CVE-2019-15107,CWE-79
144.122.71.200-172.66.40.212-54098-443-6,144.122.71.200,54098,172.66.40.212,443,6,2022-06-13 17:52:21.116236,325053,14,0,557,0,289,0,39.7857142857143,79.1213076148348,0,0,0,0,1713.56671065949,43.0698993702565,25004.0769230769,69968.7662025725,257063,21,325053,25004.0769230769,69968.7662025725,257063,21,0,0,0,0,0,5,0,0,0,0,0,300,0,43.0698993702565,0,0,289,39.7857142857143,79.1213076148348,6260.18131868132,1,1,0,5,13,0,0,0,0,39.7857142857143,39.7857142857143,0,557,5,14098,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,325053,Normal Traffic,Normal Traffic
144.122.71.200-172.66.40.212-54108-443-6,144.122.71.200,54108,172.66.40.212,443,6,2022-06-13 17:52:49.341578,291550,14,0,557,0,289,0,39.7857142857143,79.1213076148348,0,0,0,0,1910.47847710513,48.0192076830732,22426.9230769231,60583.7537511248,223130,33,291550,22426.9230769231,60583.7537511248,223130,33,0,0,0,0,0,5,0,0,0,0,0,300,0,48.0192076830732,0,0,289,39.7857142857143,79.1213076148348,6260.18131868132,1,1,0,5,13,0,0,0,0,39.7857142857143,39.7857142857143,0,557,5,13945,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,291550,Normal Traffic,Normal Traffic
144.122.71.200-172.66.40.212-54094-443-6,144.122.71.200,54094,172.66.40.212,443,6,2022-06-13 17:52:11.106928,85440,14,0,557,0,289,0,39.7857142857143,79.1213076148348,0,0,0,0,6519.19475655431,163.857677902622,6572.30769230769,6743.22875661968,18439,9,85440,6572.30769230769,6743.22875661968,18439,9,0,0,0,0,0,5,0,0,0,0,0,300,0,163.857677902622,0,0,289,39.7857142857143,79.1213076148348,6260.18131868132,1,1,0,5,13,0,0,0,0,39.7857142857143,39.7857142857143,0,557,5,12108,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,85440,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-54856-30004-6,144.122.71.200,54856,144.122.71.18,30004,6,2022-06-13 17:52:11.176448,4560,5,0,336,0,336,0,67.2,150.263768087986,0,0,0,0,73684.2105263158,1096.49122807018,1140,2022.59536239951,4173,61,4560,1140,2022.59536239951,4173,61,0,0,0,0,0,1,0,0,0,0,0,168,0,1096.49122807018,0,0,336,67.2,150.263768087986,22579.2,1,1,0,1,4,0,0,0,0,67.2,67.2,0,0,0,0,0,0,0,1,67,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,4560,CVE-2019-16662,CWE-79
144.122.71.200-172.66.40.212-54112-443-6,144.122.71.200,54112,172.66.40.212,443,6,2022-06-13 17:52:58.733157,101227,14,0,557,0,289,0,39.7857142857143,79.1213076148348,0,0,0,0,5502.48451500094,138.303021921029,7786.69230769231,9126.69473198097,27429,10,101227,7786.69230769231,9126.69473198097,27429,10,0,0,0,0,0,5,0,0,0,0,0,300,0,138.303021921029,0,0,289,39.7857142857143,79.1213076148348,6260.18131868132,1,1,0,5,13,0,0,0,0,39.7857142857143,39.7857142857143,0,557,5,9026,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,101227,Normal Traffic,Normal Traffic
144.122.71.200-172.66.40.212-54102-443-6,144.122.71.200,54102,172.66.40.212,443,6,2022-06-13 17:52:28.928064,11092675,13,0,557,0,289,0,42.8461538461539,81.485015139642,0,0,0,0,50.2133164453119,1.17194454899292,924389.583333333,3176292.12442943,11010450,9,11092675,924389.583333333,3176292.12442943,11010450,9,0,0,0,0,0,5,0,0,0,0,0,280,0,1.17194454899292,0,0,289,42.8461538461539,81.485015139642,6639.80769230769,1,1,0,5,12,0,0,0,0,42.8461538461538,42.8461538461538,0,557,5,9463,0,0,0,1,42,0,0,64240,0,5,20,70062,0,70062,70062,11010450,0,11010450,11010450,11092675,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-51906-30003-6,144.122.71.200,51906,144.122.71.18,30003,6,2022-06-13 17:52:35.003599,5001181,10,0,1409,0,821,0,140.9,265.564158391569,0,0,0,0,281.733454558033,1.99952771155453,555686.777777778,1647618.3007643,4949196,158,5001181,555686.777777778,1647618.3007643,4949196,158,0,0,0,0,0,4,0,0,0,0,0,328,0,1.99952771155453,0,0,821,140.9,265.564158391569,70524.3222222222,1,1,0,4,9,0,0,0,0,140.9,140.9,0,0,0,0,0,0,0,1,140,0,0,64240,0,4,32,0,0,0,0,0,0,0,0,5001181,CVE-2019-15107,CWE-79
