Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label
144.122.71.200-144.122.71.18-41476-30006-6,144.122.71.200,41476,144.122.71.18,30006,6,2022-06-13 20:39:10.648965,4676,6,0,360.0,0.0,360.0,0.0,60.0,146.9693845669907,0,0,0,0,76988.87938408897,1283.1479897348163,935.2,1360.8536659023998,3346.0,63.0,4676.0,935.2,1360.8536659023998,3346.0,63.0,0,0,0,0,0,1,0,0,0,0,0,200,0,1283.1479897348163,0.0,0.0,360.0,60.0,146.9693845669907,21600.0,1,1,0,1,5,0,0,0,0.0,60.0,60.0,0.0,0,0,0,0,0,0,1,60,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,4676,NeedManualLabel
144.122.71.200-144.122.71.18-47972-30010-6,144.122.71.200,47972,144.122.71.18,30010,6,2022-06-13 20:39:01.087819,6089,5,0,309.0,0.0,309.0,0.0,61.8,138.18900100948701,0,0,0,0,50747.249137789455,821.1528986697323,1522.25,1793.193124940349,4180.0,423.0,6089.0,1522.25,1793.193124940349,4180.0,423.0,0,0,0,0,0,1,0,0,0,0,0,168,0,821.1528986697323,0.0,0.0,309.0,61.8,138.18900100948701,19096.2,1,1,0,1,4,0,0,0,0.0,61.8,61.8,0.0,0,0,0,0,0,0,1,61,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,6089,NeedManualLabel
144.122.71.200-144.122.71.18-41482-30006-6,144.122.71.200,41482,144.122.71.18,30006,6,2022-06-13 20:39:16.156639,1606,6,0,367.0,0.0,367.0,0.0,61.16666666666667,149.82712260023771,0,0,0,0,228518.05728518058,3735.9900373599003,321.2,455.75124794124264,1130.0,26.0,1606.0,321.2,455.75124794124264,1130.0,26.0,0,0,0,0,0,1,0,0,0,0,0,200,0,3735.9900373599003,0.0,0.0,367.0,61.16666666666667,149.82712260023771,22448.166666666664,1,1,0,1,5,0,0,0,0.0,61.166666666666664,61.166666666666664,0.0,0,0,0,0,0,0,1,61,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,1606,NeedManualLabel
144.122.71.200-172.66.43.44-42258-443-6,144.122.71.200,42258,172.66.43.44,443,6,2022-06-13 20:39:29.368680,92261,14,0,557.0,0.0,289.0,0.0,39.785714285714285,79.12130761483482,0,0,0,0,6037.220494033232,151.74342354841158,7097.000000000002,7179.6558065132895,19713.0,21.0,92261.0,7097.000000000002,7179.6558065132895,19713.0,21.0,0,0,0,0,0,5,0,0,0,0,0,300,0,151.74342354841158,0.0,0.0,289.0,39.785714285714285,79.12130761483482,6260.181318681319,1,1,0,5,13,0,0,0,0.0,39.785714285714285,39.785714285714285,0.0,557,5,14443,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,92261,NeedManualLabel
144.122.71.200-144.122.71.18-41474-30006-6,144.122.71.200,41474,144.122.71.18,30006,6,2022-06-13 20:39:10.607969,38302,5,0,538.0,0.0,538.0,0.0,107.6,240.6009143789774,0,0,0,0,14046.263902668266,130.54148608427758,9575.5,18234.541626630853,36926.0,287.0,38302.0,9575.5,18234.541626630853,36926.0,287.0,0,0,0,0,0,1,0,0,0,0,0,168,0,130.54148608427758,0.0,0.0,538.0,107.6,240.6009143789774,57888.80000000001,1,1,0,1,4,0,0,0,0.0,107.6,107.6,0.0,0,0,0,0,0,0,1,107,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,38302,NeedManualLabel
144.122.71.200-144.122.71.18-47998-30010-6,144.122.71.200,47998,144.122.71.18,30010,6,2022-06-13 20:39:29.439749,6503,10,0,303.0,0.0,303.0,0.0,30.299999999999997,95.8170131031019,0,0,0,0,46593.8797478087,1537.7518068583731,722.5555555555557,1710.6227748331244,5209.0,5.0,6503.0,722.5555555555557,1710.6227748331244,5209.0,5.0,0,0,0,0,0,1,0,0,0,0,0,328,0,1537.7518068583731,0.0,0.0,303.0,30.299999999999997,95.8170131031019,9180.900000000001,1,1,0,1,9,0,0,0,0.0,30.3,30.3,0.0,0,0,0,0,0,0,1,30,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,6503,NeedManualLabel
144.122.71.200-172.66.43.44-42240-443-6,144.122.71.200,42240,172.66.43.44,443,6,2022-06-13 20:39:10.539120,128237,14,0,557.0,0.0,289.0,0.0,39.785714285714285,79.12130761483482,0,0,0,0,4343.5202008780625,109.17285962709671,9864.384615384617,16897.090304440295,62945.0,9.0,128237.0,9864.384615384617,16897.090304440295,62945.0,9.0,0,0,0,0,0,5,0,0,0,0,0,300,0,109.17285962709671,0.0,0.0,289.0,39.785714285714285,79.12130761483482,6260.181318681319,1,1,0,5,13,0,0,0,0.0,39.785714285714285,39.785714285714285,0.0,557,5,16576,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,128237,NeedManualLabel
144.122.71.200-144.122.71.18-47976-30010-6,144.122.71.200,47976,144.122.71.18,30010,6,2022-06-13 20:39:06.354377,2808,5,0,321.0,0.0,321.0,0.0,64.2,143.5555641554865,0,0,0,0,114316.23931623931,1780.6267806267806,702.0,1022.8678637373777,2228.0,100.0,2808.0,702.0,1022.8678637373777,2228.0,100.0,0,0,0,0,0,1,0,0,0,0,0,168,0,1780.6267806267806,0.0,0.0,321.0,64.2,143.5555641554865,20608.2,1,1,0,1,4,0,0,0,0.0,64.2,64.2,0.0,0,0,0,0,0,0,1,64,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,2808,NeedManualLabel
144.122.71.200-144.122.71.18-41488-30006-6,144.122.71.200,41488,144.122.71.18,30006,6,2022-06-13 20:39:22.430828,4727,6,0,359.0,0.0,359.0,0.0,59.83333333333333,146.56113627652684,0,0,0,0,75946.68923207108,1269.3039983075946,945.4,1385.7518897695936,3392.0,55.0,4727.0,945.4,1385.7518897695936,3392.0,55.0,0,0,0,0,0,1,0,0,0,0,0,200,0,1269.3039983075946,0.0,0.0,359.0,59.83333333333333,146.56113627652684,21480.166666666668,1,1,0,1,5,0,0,0,0.0,59.833333333333336,59.833333333333336,0.0,0,0,0,0,0,0,1,59,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,4727,NeedManualLabel
144.122.71.200-172.66.43.44-42236-443-6,144.122.71.200,42236,172.66.43.44,443,6,2022-06-13 20:39:06.290528,77199,14,0,557.0,0.0,289.0,0.0,39.785714285714285,79.12130761483482,0,0,0,0,7215.119366831176,181.34949934584645,5938.384615384613,6444.115345782041,18755.0,28.0,77199.0,5938.384615384613,6444.115345782041,18755.0,28.0,0,0,0,0,0,5,0,0,0,0,0,300,0,181.34949934584645,0.0,0.0,289.0,39.785714285714285,79.12130761483482,6260.181318681319,1,1,0,5,13,0,0,0,0.0,39.785714285714285,39.785714285714285,0.0,557,5,12733,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,77199,NeedManualLabel
