Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label
144.122.71.200-144.122.71.18-47950-30010-6,144.122.71.200,47950,144.122.71.18,30010,6,2022-06-13 20:37:17.593217,10111,9,0,296.0,0.0,296.0,0.0,32.888888888888886,98.66666666666667,0,0,0,0,29275.046978538227,890.1196716447433,1263.875,2899.4328232308762,8407.0,5.0,10111.0,1263.875,2899.4328232308762,8407.0,5.0,0,0,0,0,0,1,0,0,0,0,0,296,0,890.1196716447433,0.0,0.0,296.0,32.888888888888886,98.66666666666667,9735.111111111113,1,1,0,1,8,0,0,0,0.0,32.888888888888886,32.888888888888886,0.0,0,0,0,0,0,0,1,32,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,10111,NeedManualLabel
144.122.71.200-144.122.71.18-41460-30006-6,144.122.71.200,41460,144.122.71.18,30006,6,2022-06-13 20:37:30.609377,39626,5,0,1016.0,0.0,1016.0,0.0,203.2,454.3690130279573,0,0,0,0,25639.731489426133,126.17978095190027,9906.5,18589.715534850624,37781.0,237.0,39626.0,9906.5,18589.715534850624,37781.0,237.0,0,0,0,0,0,1,0,0,0,0,0,168,0,126.17978095190027,0.0,0.0,1016.0,203.2,454.3690130279573,206451.20000000004,1,1,0,1,4,0,0,0,0.0,203.2,203.2,0.0,0,0,0,0,0,0,1,203,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,39626,NeedManualLabel
144.122.71.200-144.122.71.18-41454-30006-6,144.122.71.200,41454,144.122.71.18,30006,6,2022-06-13 20:37:25.546700,36743,5,0,537.0,0.0,537.0,0.0,107.4,240.15370078347743,0,0,0,0,14615.028712952128,136.0803418338187,9185.75,17712.305691712376,35751.0,113.0,36743.0,9185.75,17712.305691712376,35751.0,113.0,0,0,0,0,0,1,0,0,0,0,0,168,0,136.0803418338187,0.0,0.0,537.0,107.4,240.15370078347743,57673.8,1,1,0,1,4,0,0,0,0.0,107.4,107.4,0.0,0,0,0,0,0,0,1,107,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,36743,NeedManualLabel
144.122.71.200-172.66.43.44-42214-443-6,144.122.71.200,42214,172.66.43.44,443,6,2022-06-13 20:37:20.445394,140461,14,0,557.0,0.0,289.0,0.0,39.785714285714285,79.12130761483482,0,0,0,0,3965.5135589238294,99.67179501783413,10804.692307692307,17215.10271721033,64062.0,17.0,140461.0,10804.692307692307,17215.10271721033,64062.0,17.0,0,0,0,0,0,5,0,0,0,0,0,300,0,99.67179501783413,0.0,0.0,289.0,39.785714285714285,79.12130761483482,6260.181318681319,1,1,0,5,13,0,0,0,0.0,39.785714285714285,39.785714285714285,0.0,557,5,13539,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,140461,NeedManualLabel
144.122.71.200-172.66.43.44-42210-443-6,144.122.71.200,42210,172.66.43.44,443,6,2022-06-13 20:37:17.512441,103456,14,0,557.0,0.0,289.0,0.0,39.785714285714285,79.12130761483482,0,0,0,0,5383.931333127126,135.32322919888648,7958.153846153846,8502.089643593057,25561.0,18.0,103456.0,7958.153846153846,8502.089643593057,25561.0,18.0,0,0,0,0,0,5,0,0,0,0,0,300,0,135.32322919888648,0.0,0.0,289.0,39.785714285714285,79.12130761483482,6260.181318681319,1,1,0,5,13,0,0,0,0.0,39.785714285714285,39.785714285714285,0.0,557,5,12518,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,103456,NeedManualLabel
144.122.71.200-172.66.43.44-42220-443-6,144.122.71.200,42220,172.66.43.44,443,6,2022-06-13 20:37:25.476404,130078,14,0,557.0,0.0,289.0,0.0,39.785714285714285,79.12130761483482,0,0,0,0,4282.046156921232,107.62773105367549,10006.0,15190.594217036627,55600.0,11.0,130078.0,10006.0,15190.594217036627,55600.0,11.0,0,0,0,0,0,5,0,0,0,0,0,300,0,107.62773105367549,0.0,0.0,289.0,39.785714285714285,79.12130761483482,6260.181318681319,1,1,0,5,13,0,0,0,0.0,39.785714285714285,39.785714285714285,0.0,557,5,12315,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,130078,NeedManualLabel
144.122.71.200-172.66.43.44-42206-443-6,144.122.71.200,42206,172.66.43.44,443,6,2022-06-13 20:37:15.264378,94161,14,0,557.0,0.0,289.0,0.0,39.785714285714285,79.12130761483482,0,0,0,0,5915.400218774227,148.68151357780823,7243.153846153847,7349.37858876692,18220.0,13.0,94161.0,7243.153846153847,7349.37858876692,18220.0,13.0,0,0,0,0,0,5,0,0,0,0,0,300,0,148.68151357780823,0.0,0.0,289.0,39.785714285714285,79.12130761483482,6260.181318681319,1,1,0,5,13,0,0,0,0.0,39.785714285714285,39.785714285714285,0.0,557,5,12316,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,94161,NeedManualLabel
144.122.71.200-144.122.71.18-41456-30006-6,144.122.71.200,41456,144.122.71.18,30006,6,2022-06-13 20:37:25.586377,4587,6,0,365.0,0.0,365.0,0.0,60.833333333333336,149.01062601931,0,0,0,0,79572.70547198605,1308.0444735120993,917.4000000000001,1271.9177646373214,3159.0,59.0,4587.0,917.4000000000001,1271.9177646373214,3159.0,59.0,0,0,0,0,0,1,0,0,0,0,0,200,0,1308.0444735120993,0.0,0.0,365.0,60.833333333333336,149.01062601931,22204.166666666664,1,1,0,1,5,0,0,0,0.0,60.833333333333336,60.833333333333336,0.0,0,0,0,0,0,0,1,60,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,4587,NeedManualLabel
144.122.71.200-144.122.71.18-47946-30010-6,144.122.71.200,47946,144.122.71.18,30010,6,2022-06-13 20:37:15.340536,3789,5,0,294.0,0.0,294.0,0.0,58.8,131.48079707698764,0,0,0,0,77593.03246239113,1319.6093956188968,947.25,954.8980312054267,2264.0,80.0,3789.0,947.25,954.8980312054267,2264.0,80.0,0,0,0,0,0,1,0,0,0,0,0,168,0,1319.6093956188968,0.0,0.0,294.0,58.8,131.48079707698764,17287.2,1,1,0,1,4,0,0,0,0.0,58.8,58.8,0.0,0,0,0,0,0,0,1,58,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,3789,NeedManualLabel
144.122.71.200-172.66.43.44-42226-443-6,144.122.71.200,42226,172.66.43.44,443,6,2022-06-13 20:37:30.536409,127085,14,0,557.0,0.0,289.0,0.0,39.785714285714285,79.12130761483482,0,0,0,0,4382.893339103749,110.16248967226659,9775.76923076923,15356.1910216143,56311.0,17.0,127085.0,9775.76923076923,15356.1910216143,56311.0,17.0,0,0,0,0,0,5,0,0,0,0,0,300,0,110.16248967226659,0.0,0.0,289.0,39.785714285714285,79.12130761483482,6260.181318681319,1,1,0,5,13,0,0,0,0.0,39.785714285714285,39.785714285714285,0.0,557,5,12963,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,127085,NeedManualLabel
