Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label-I,Label-II
144.122.71.200-144.122.71.18-51870-30003-6,144.122.71.200,51870,144.122.71.18,30003,6,2022-06-13 17:50:27.097338,230425,36,0,1112,0,524,0,30.8888888888889,106.828775625237,0,0,0,0,4825.86524899642,156.233047629381,6583.57142857143,10893.0639731294,57568,3,230425,6583.57142857143,10893.0639731294,57568,3,0,0,0,0,0,4,0,0,0,0,0,1160,0,156.233047629381,0,0,524,30.8888888888889,106.828775625237,11412.3873015873,1,1,0,4,35,0,0,0,0,30.8888888888889,30.8888888888889,0,1112,4,4833,0,0,0,1,30,0,0,64240,0,4,32,0,0,0,0,0,0,0,0,230425,CVE-2019-15107,CWE-79
144.122.71.200-144.122.71.18-51878-30003-6,144.122.71.200,51878,144.122.71.18,30003,6,2022-06-13 17:50:47.035522,5000372,10,0,1404,0,816,0,140.4,264.142301715487,0,0,0,0,280.779110034213,1.9998512110699,555596.888888889,1665323.37494422,4996459,42,5000372,555596.888888889,1665323.37494422,4996459,42,0,0,0,0,0,4,0,0,0,0,0,328,0,1.9998512110699,0,0,816,140.4,264.142301715487,69771.1555555556,1,1,0,4,9,0,0,0,0,140.4,140.4,0,0,0,0,0,0,0,1,140,0,0,64240,0,4,32,0,0,0,0,0,0,0,0,5000372,CVE-2019-15107,CWE-79
144.122.71.200-144.122.71.18-51880-30003-6,144.122.71.200,51880,144.122.71.18,30003,6,2022-06-13 17:50:53.037420,5027502,10,0,1404,0,816,0,140.4,264.142301715487,0,0,0,0,279.263936642889,1.98905937779836,558611.333333333,1674185.22106165,5023105,96,5027502,558611.333333333,1674185.22106165,5023105,96,0,0,0,0,0,4,0,0,0,0,0,328,0,1.98905937779836,0,0,816,140.4,264.142301715487,69771.1555555556,1,1,0,4,9,0,0,0,0,140.4,140.4,0,0,0,0,0,0,0,1,140,0,0,64240,0,4,32,4162,0,4162,4162,5023105,0,5023105,5023105,5027502,CVE-2019-15107,CWE-79
144.122.71.200-144.122.71.18-54834-30004-6,144.122.71.200,54834,144.122.71.18,30004,6,2022-06-13 17:50:37.640367,7688,5,0,355,0,355,0,71,158.760826402485,0,0,0,0,46175.8584807492,650.364203954214,1922,3037.71635717798,6469,128,7688,1922,3037.71635717798,6469,128,0,0,0,0,0,1,0,0,0,0,0,168,0,650.364203954214,0,0,355,71,158.760826402485,25205,1,1,0,1,4,0,0,0,0,71,71,0,0,0,0,0,0,0,1,71,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,7688,CVE-2019-16662,CWE-79
144.122.71.200-172.66.40.212-54068-443-6,144.122.71.200,54068,172.66.40.212,443,6,2022-06-13 17:50:27.019714,334631,14,0,557,0,289,0,39.7857142857143,79.1213076148348,0,0,0,0,1664.52002354833,41.8371280604606,25740.8461538462,66436.9782586552,245176,23,334631,25740.8461538462,66436.9782586552,245176,23,0,0,0,0,0,5,0,0,0,0,0,300,0,41.8371280604606,0,0,289,39.7857142857143,79.1213076148348,6260.18131868132,1,1,0,5,13,0,0,0,0,39.7857142857143,39.7857142857143,0,557,5,11401,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,334631,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-54848-30004-6,144.122.71.200,54848,144.122.71.18,30004,6,2022-06-13 17:51:16.951484,4963,5,0,313,0,313,0,62.6,139.977855391487,0,0,0,0,63066.6935321378,1007.45516824501,1240.75,2205.84199721255,4549,99,4963,1240.75,2205.84199721255,4549,99,0,0,0,0,0,1,0,0,0,0,0,168,0,1007.45516824501,0,0,313,62.6,139.977855391487,19593.8,1,1,0,1,4,0,0,0,0,62.6,62.6,0,0,0,0,0,0,0,1,62,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,4963,CVE-2019-16662,CWE-79
144.122.71.200-172.66.40.212-54082-443-6,144.122.71.200,54082,172.66.40.212,443,6,2022-06-13 17:51:09.348214,118101,14,0,557,0,289,0,39.7857142857143,79.1213076148348,0,0,0,0,4716.30214816132,118.542603364916,9084.69230769231,9866.07423095778,28802,23,118101,9084.69230769231,9866.07423095778,28802,23,0,0,0,0,0,5,0,0,0,0,0,300,0,118.542603364916,0,0,289,39.7857142857143,79.1213076148348,6260.18131868132,1,1,0,5,13,0,0,0,0,39.7857142857143,39.7857142857143,0,557,5,10342,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,118101,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-51866-30003-6,144.122.71.200,51866,144.122.71.18,30003,6,2022-06-13 17:50:17.233877,222002,35,0,1098,0,510,0,31.3714285714286,106.392747904745,0,0,0,0,4945.90138827578,157.656237331195,6529.4705882353,10673.73639171,57755,4,222002,6529.4705882353,10673.73639171,57755,4,0,0,0,0,0,4,0,0,0,0,0,1128,0,157.656237331195,0,0,510,31.3714285714286,106.392747904745,11319.4168067227,1,1,0,4,34,0,0,0,0,31.3714285714286,31.3714285714286,0,1098,4,4960,0,0,0,1,31,0,0,64240,0,4,32,0,0,0,0,0,0,0,0,222002,CVE-2019-15107,CWE-79
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,2022-06-13 17:50:17.234108,5058525,2,0,0,0,0,0,0,0,0,0,0,0,0,0.39537216876461,5058525,0,5058525,5058525,5058525,5058525,0,5058525,5058525,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39537216876461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5058525,0,5058525,5058525,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-54844-30004-6,144.122.71.200,54844,144.122.71.18,30004,6,2022-06-13 17:51:09.451854,4606,5,0,325,0,325,0,65,145.344418537486,0,0,0,0,70560.1389491967,1085.54059921841,1151.5,2013.1266726165,4169,88,4606,1151.5,2013.1266726165,4169,88,0,0,0,0,0,1,0,0,0,0,0,168,0,1085.54059921841,0,0,325,65,145.344418537486,21125,1,1,0,1,4,0,0,0,0,65,65,0,0,0,0,0,0,0,1,65,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,4606,CVE-2019-16662,CWE-79
