Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label-I,Label-II
144.122.71.200-144.122.71.18-51918-30003-6,144.122.71.200,51918,144.122.71.18,30003,6,2022-06-13 17:53:34.047299,236746,37,0,1102,0,514,0,29.7837837837838,104.160702531962,0,0,0,0,4654.77769423771,156.285639461702,6576.27777777778,10327.6566630193,53634,5,236746,6576.27777777778,10327.6566630193,53634,5,0,0,0,0,0,4,0,0,0,0,0,1192,0,156.285639461702,0,0,514,29.7837837837838,104.160702531962,10849.451951952,1,1,0,4,36,0,0,0,0,29.7837837837838,29.7837837837838,0,1102,4,4671,0,0,0,1,29,0,0,64240,0,4,32,0,0,0,0,0,0,0,0,236746,CVE-2019-15107,CWE-79
144.122.71.200-144.122.171.91-49290-53-17,144.122.71.200,49290,144.122.171.91,53,17,2022-06-13 17:53:42.889228,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-172.66.43.44-41998-443-6,144.122.71.200,41998,172.66.43.44,443,6,2022-06-13 17:53:48.680254,115791,14,0,557,0,289,0,39.7857142857143,79.1213076148348,0,0,0,0,4810.39113575321,120.907497128447,8907,10183.6494931827,31293,9,115791,8907,10183.6494931827,31293,9,0,0,0,0,0,5,0,0,0,0,0,300,0,120.907497128447,0,0,289,39.7857142857143,79.1213076148348,6260.18131868132,1,1,0,5,13,0,0,0,0,39.7857142857143,39.7857142857143,0,557,5,11246,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,115791,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-51791-17,144.122.71.200,53,144.122.171.91,51791,17,2022-06-13 17:54:00.847285,0,1,0,84,0,84,84,84,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,84,84,84,0,0,0,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,1,84,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-45281-53-17,144.122.71.200,45281,144.122.171.91,53,17,2022-06-13 17:53:48.680081,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-51791-53-17,144.122.71.200,51791,144.122.171.91,53,17,2022-06-13 17:54:00.846362,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-40830-17,144.122.71.200,53,144.122.171.91,40830,17,2022-06-13 17:54:00.847299,0,1,0,108,0,108,108,108,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,108,108,108,0,0,0,0,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-47008-17,144.122.71.200,53,144.122.171.91,47008,17,2022-06-13 17:53:42.889975,0,1,0,84,0,84,84,84,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,84,84,84,0,0,0,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,1,84,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-57791-53-17,144.122.71.200,57791,144.122.171.91,53,17,2022-06-13 17:54:09.983645,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-54890-30004-6,144.122.71.200,54890,144.122.71.18,30004,6,2022-06-13 17:54:00.920523,13450,5,0,360,0,360,0,72,160.996894379985,0,0,0,0,26765.7992565056,371.747211895911,3362.5,5787.2820621313,12041,370,13450,3362.5,5787.2820621313,12041,370,0,0,0,0,0,1,0,0,0,0,0,168,0,371.747211895911,0,0,360,72,160.996894379985,25920,1,1,0,1,4,0,0,0,0,72,72,0,0,0,0,0,0,0,1,72,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,13450,CVE-2019-16662,CWE-79
