Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label-I,Label-II
144.122.71.200-144.122.71.18-41278-30006-6,144.122.71.200,41278,144.122.71.18,30006,6,2022-06-13 19:37:04.868843,1481,6,0,374,0,374,0,62.3333333333333,152.684860633485,0,0,0,0,252532.0729237,4051.31667792032,296.2,408.034557360035,1018,12,1481,296.2,408.034557360035,1018,12,0,0,0,0,0,1,0,0,0,0,0,200,0,4051.31667792032,0,0,374,62.3333333333333,152.684860633485,23312.6666666667,1,1,0,1,5,0,0,0,0,62.3333333333333,62.3333333333333,0,0,0,0,0,0,0,1,62,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,1481,CVE-2020-17518,CWE-22
144.122.71.200-144.122.71.18-41270-30006-6,144.122.71.200,41270,144.122.71.18,30006,6,2022-06-13 19:36:59.408679,42681,5,0,528,0,528,0,105.6,236.128778423978,0,0,0,0,12370.8441695368,117.148145544856,10670.25,19278.6262369323,39586,728,42681,10670.25,19278.6262369323,39586,728,0,0,0,0,0,1,0,0,0,0,0,168,0,117.148145544856,0,0,528,105.6,236.128778423978,55756.8,1,1,0,1,4,0,0,0,0,105.6,105.6,0,0,0,0,0,0,0,1,105,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,42681,CVE-2020-17518,CWE-22
144.122.71.200-172.66.40.212-54174-443-6,144.122.71.200,54174,172.66.40.212,443,6,2022-06-13 19:37:09.549610,144778,14,0,557,0,289,0,39.7857142857143,79.1213076148348,0,0,0,0,3847.26961278647,96.6997748276672,11136.7692307692,17689.7258889345,63859,9,144778,11136.7692307692,17689.7258889345,63859,9,0,0,0,0,0,5,0,0,0,0,0,300,0,96.6997748276672,0,0,289,39.7857142857143,79.1213076148348,6260.18131868132,1,1,0,5,13,0,0,0,0,39.7857142857143,39.7857142857143,0,557,5,10925,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,144778,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-37169-17,144.122.71.200,53,144.122.171.91,37169,17,2022-06-13 19:37:04.758763,0,1,0,108,0,108,108,108,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,108,108,108,0,0,0,0,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-41284-30006-6,144.122.71.200,41284,144.122.71.18,30006,6,2022-06-13 19:37:09.673976,5696,6,0,367,0,367,0,61.1666666666667,149.827122600238,0,0,0,0,64431.1797752809,1053.37078651685,1139.2,1695.30873294512,4152,127,5696,1139.2,1695.30873294512,4152,127,0,0,0,0,0,1,0,0,0,0,0,200,0,1053.37078651685,0,0,367,61.1666666666667,149.827122600238,22448.1666666667,1,1,0,1,5,0,0,0,0,61.1666666666667,61.1666666666667,0,0,0,0,0,0,0,1,61,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,5696,CVE-2020-17518,CWE-22
144.122.71.200-144.122.71.18-41276-30006-6,144.122.71.200,41276,144.122.71.18,30006,6,2022-06-13 19:37:04.838046,28817,5,0,533,0,533,0,106.6,238.364846401478,0,0,0,0,18496.0266509352,173.508692785509,7204.25,13648.2288563999,27668,91,28817,7204.25,13648.2288563999,27668,91,0,0,0,0,0,1,0,0,0,0,0,168,0,173.508692785509,0,0,533,106.6,238.364846401478,56817.8,1,1,0,1,4,0,0,0,0,106.6,106.6,0,0,0,0,0,0,0,1,106,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,28817,CVE-2020-17518,CWE-22
144.122.71.200-172.66.40.212-54168-443-6,144.122.71.200,54168,172.66.40.212,443,6,2022-06-13 19:37:04.758130,126739,14,0,557,0,289,0,39.7857142857143,79.1213076148348,0,0,0,0,4394.85872541207,110.463235468167,9749.15384615385,13318.4642998993,46286,23,126739,9749.15384615385,13318.4642998993,46286,23,0,0,0,0,0,5,0,0,0,0,0,300,0,110.463235468167,0,0,289,39.7857142857143,79.1213076148348,6260.18131868132,1,1,0,5,13,0,0,0,0,39.7857142857143,39.7857142857143,0,557,5,10916,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,126739,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-50592-53-17,144.122.71.200,50592,144.122.171.91,53,17,2022-06-13 19:37:09.549385,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-34810-17,144.122.71.200,53,144.122.171.91,34810,17,2022-06-13 19:36:59.208027,0,1,0,108,0,108,108,108,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,108,108,108,0,0,0,0,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-41272-30006-6,144.122.71.200,41272,144.122.71.18,30006,6,2022-06-13 19:36:59.454665,6084,6,0,346,0,346,0,57.6666666666667,141.253908500497,0,0,0,0,56870.479947403,986.193293885602,1216.8,1775.09315248524,4359,85,6084,1216.8,1775.09315248524,4359,85,0,0,0,0,0,1,0,0,0,0,0,200,0,986.193293885602,0,0,346,57.6666666666667,141.253908500497,19952.6666666667,1,1,0,1,5,0,0,0,0,57.6666666666667,57.6666666666667,0,0,0,0,0,0,0,1,57,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,6084,CVE-2020-17518,CWE-22
