Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label-I,Label-II
144.122.71.200-144.122.71.18-41300-30006-6,144.122.71.200,41300,144.122.71.18,30006,6,2022-06-13 19:37:50.726705,46223,5,0,1013,0,1013,0,202.6,453.027372241457,0,0,0,0,21915.4966142397,108.171256733661,11555.75,22437.0019889022,45207,78,46223,11555.75,22437.0019889022,45207,78,0,0,0,0,0,1,0,0,0,0,0,168,0,108.171256733661,0,0,1013,202.6,453.027372241457,205233.8,1,1,0,1,4,0,0,0,0,202.6,202.6,0,0,0,0,0,0,0,1,202,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,46223,CVE-2020-17518,CWE-22
144.122.71.200-172.66.40.212-54192-443-6,144.122.71.200,54192,172.66.40.212,443,6,2022-06-13 19:37:50.650063,143856,14,0,557,0,289,0,39.7857142857143,79.1213076148348,0,0,0,0,3871.92748303859,97.3195417639862,11065.8461538462,18437.3985459182,67640,24,143856,11065.8461538462,18437.3985459182,67640,24,0,0,0,0,0,5,0,0,0,0,0,300,0,97.3195417639862,0,0,289,39.7857142857143,79.1213076148348,6260.18131868132,1,1,0,5,13,0,0,0,0,39.7857142857143,39.7857142857143,0,557,5,11351,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,143856,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-46571-53-17,144.122.71.200,46571,144.122.171.91,53,17,2022-06-13 19:37:39.937216,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-41294-30006-6,144.122.71.200,41294,144.122.71.18,30006,6,2022-06-13 19:37:45.659914,30725,5,0,533,0,533,0,106.6,238.364846401478,0,0,0,0,17347.4369406021,162.73393002441,7681.25,14566.01071845,29527,139,30725,7681.25,14566.01071845,29527,139,0,0,0,0,0,1,0,0,0,0,0,168,0,162.73393002441,0,0,533,106.6,238.364846401478,56817.8,1,1,0,1,4,0,0,0,0,106.6,106.6,0,0,0,0,0,0,0,1,106,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,30725,CVE-2020-17518,CWE-22
144.122.71.200-172.66.40.212-54186-443-6,144.122.71.200,54186,172.66.40.212,443,6,2022-06-13 19:37:45.598788,113285,13,0,557,0,289,0,42.8461538461538,81.485015139642,0,0,0,0,4916.80275411573,114.754821909344,9440.41666666667,13112.4056697072,46159,5,113285,9440.41666666667,13112.4056697072,46159,5,0,0,0,0,0,5,0,0,0,0,0,280,0,114.754821909344,0,0,289,42.8461538461538,81.485015139642,6639.80769230769,1,1,0,5,12,0,0,0,0,42.8461538461538,42.8461538461538,0,557,5,13694,0,0,0,1,42,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,113285,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-44531-17,144.122.71.200,53,144.122.171.91,44531,17,2022-06-13 19:37:50.650734,0,1,0,108,0,108,108,108,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,108,108,108,0,0,0,0,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-172.66.40.212-54180-443-6,144.122.71.200,54180,172.66.40.212,443,6,2022-06-13 19:37:39.937447,141809,15,0,557,0,289,0,37.1333333333333,76.9321284051883,0,0,0,0,3927.81840362741,105.7760790923,10129.2142857143,14645.1760667966,51627,21,141809,10129.2142857143,14645.1760667966,51627,21,0,0,0,0,0,5,0,0,0,0,0,320,0,105.7760790923,0,0,289,37.1333333333333,76.9321284051883,5918.55238095238,1,1,0,5,14,0,0,0,0,37.1333333333333,37.1333333333333,0,557,5,9788,0,0,0,1,37,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,141809,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-41296-30006-6,144.122.71.200,41296,144.122.71.18,30006,6,2022-06-13 19:37:45.693264,5193,6,0,356,0,356,0,59.3333333333333,145.336391405135,0,0,0,0,68553.8224533025,1155.40150202195,1038.6,1525.97372192315,3742,57,5193,1038.6,1525.97372192315,3742,57,0,0,0,0,0,1,0,0,0,0,0,200,0,1155.40150202195,0,0,356,59.3333333333333,145.336391405135,21122.6666666667,1,1,0,1,5,0,0,0,0,59.3333333333333,59.3333333333333,0,0,0,0,0,0,0,1,59,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,5193,CVE-2020-17518,CWE-22
144.122.71.200-144.122.171.91-53-46571-17,144.122.71.200,53,144.122.171.91,46571,17,2022-06-13 19:37:39.938155,0,1,0,108,0,108,108,108,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,108,108,108,0,0,0,0,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-36276-17,144.122.71.200,53,144.122.171.91,36276,17,2022-06-13 19:37:45.599432,0,1,0,108,0,108,108,108,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,108,108,108,0,0,0,0,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-41290-30006-6,144.122.71.200,41290,144.122.71.18,30006,6,2022-06-13 19:37:40.063626,3831,5,0,365,0,365,0,73,163.232962357485,0,0,0,0,95275.3850169668,1305.1422605064,957.75,1379.29870465634,3022,141,3831,957.75,1379.29870465634,3022,141,0,0,0,0,0,1,0,0,0,0,0,168,0,1305.1422605064,0,0,365,73,163.232962357485,26645,1,1,0,1,4,0,0,0,0,73,73,0,0,0,0,0,0,0,1,73,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,3831,CVE-2020-17518,CWE-22
144.122.71.200-144.122.71.18-41288-30006-6,144.122.71.200,41288,144.122.71.18,30006,6,2022-06-13 19:37:40.029851,30052,5,0,537,0,537,0,107.4,240.153700783477,0,0,0,0,17869.0270198323,166.37827765207,7513,13988.3868262212,28491,268,30052,7513,13988.3868262212,28491,268,0,0,0,0,0,1,0,0,0,0,0,168,0,166.37827765207,0,0,537,107.4,240.153700783477,57673.8,1,1,0,1,4,0,0,0,0,107.4,107.4,0,0,0,0,0,0,0,1,107,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,30052,CVE-2020-17518,CWE-22
144.122.71.200-144.122.71.18-41302-30006-6,144.122.71.200,41302,144.122.71.18,30006,6,2022-06-13 19:37:50.776524,3280,6,0,354,0,354,0,59,144.519894824208,0,0,0,0,107926.829268293,1829.26829268293,656,574.288690468479,1654,266,3280,656,574.288690468479,1654,266,0,0,0,0,0,1,0,0,0,0,0,200,0,1829.26829268293,0,0,354,59,144.519894824208,20886,1,1,0,1,5,0,0,0,0,59,59,0,0,0,0,0,0,0,1,59,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,3280,CVE-2020-17518,CWE-22
144.122.71.200-144.122.171.91-36276-53-17,144.122.71.200,36276,144.122.171.91,53,17,2022-06-13 19:37:45.598608,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-44531-53-17,144.122.71.200,44531,144.122.171.91,53,17,2022-06-13 19:37:50.649880,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
