Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label-I,Label-II
144.122.71.200-144.122.71.18-41330-30006-6,144.122.71.200,41330,144.122.71.18,30006,6,2022-06-13 19:39:09.619413,28173,5,0,550,0,550,0,110,245.967477524977,0,0,0,0,19522.2376033791,177.474887303447,7043.25,13233.820218793,26893,313,28173,7043.25,13233.820218793,26893,313,0,0,0,0,0,1,0,0,0,0,0,168,0,177.474887303447,0,0,550,110,245.967477524977,60500,1,1,0,1,4,0,0,0,0,110,110,0,0,0,0,0,0,0,1,110,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,28173,CVE-2020-17518,CWE-22
144.122.71.200-144.122.71.18-41324-30006-6,144.122.71.200,41324,144.122.71.18,30006,6,2022-06-13 19:39:06.239334,37913,5,0,525,0,525,0,105,234.787137637478,0,0,0,0,13847.4929443726,131.880885184501,9478.25,17820.8697388764,36201,207,37913,9478.25,17820.8697388764,36201,207,0,0,0,0,0,1,0,0,0,0,0,168,0,131.880885184501,0,0,525,105,234.787137637478,55125,1,1,0,1,4,0,0,0,0,105,105,0,0,0,0,0,0,0,1,105,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,37913,CVE-2020-17518,CWE-22
144.122.71.200-172.66.40.212-54216-443-6,144.122.71.200,54216,172.66.40.212,443,6,2022-06-13 19:39:06.168729,123638,14,0,557,0,289,0,39.7857142857143,79.1213076148348,0,0,0,0,4505.08743266633,113.23379543506,9510.61538461538,15182.5498546767,56336,28,123638,9510.61538461538,15182.5498546767,56336,28,0,0,0,0,0,5,0,0,0,0,0,300,0,113.23379543506,0,0,289,39.7857142857143,79.1213076148348,6260.18131868132,1,1,0,5,13,0,0,0,0,39.7857142857143,39.7857142857143,0,557,5,14415,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,123638,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-41021-53-17,144.122.71.200,41021,144.122.171.91,53,17,2022-06-13 19:39:14.897345,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-58628-17,144.122.71.200,53,144.122.171.91,58628,17,2022-06-13 19:39:06.169340,0,1,0,108,0,108,108,108,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,108,108,108,0,0,0,0,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-41332-30006-6,144.122.71.200,41332,144.122.71.18,30006,6,2022-06-13 19:39:09.648339,1545,6,0,353,0,353,0,58.8333333333333,144.111646533744,0,0,0,0,228478.964401295,3883.49514563107,309,477.590829057678,1158,8,1545,309,477.590829057678,1158,8,0,0,0,0,0,1,0,0,0,0,0,200,0,3883.49514563107,0,0,353,58.8333333333333,144.111646533744,20768.1666666667,1,1,0,1,5,0,0,0,0,58.8333333333333,58.8333333333333,0,0,0,0,0,0,0,1,58,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,1545,CVE-2020-17518,CWE-22
144.122.71.200-144.122.71.18-41338-30006-6,144.122.71.200,41338,144.122.71.18,30006,6,2022-06-13 19:39:15.001898,1696,6,0,359,0,359,0,59.8333333333333,146.561136276527,0,0,0,0,211674.528301887,3537.7358490566,339.2,507.110145826328,1240,19,1696,339.2,507.110145826328,1240,19,0,0,0,0,0,1,0,0,0,0,0,200,0,3537.7358490566,0,0,359,59.8333333333333,146.561136276527,21480.1666666667,1,1,0,1,5,0,0,0,0,59.8333333333333,59.8333333333333,0,0,0,0,0,0,0,1,59,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,1696,CVE-2020-17518,CWE-22
144.122.71.200-144.122.71.18-41336-30006-6,144.122.71.200,41336,144.122.71.18,30006,6,2022-06-13 19:39:14.963469,31599,5,0,1010,0,1010,0,202,451.685731454958,0,0,0,0,31963.0368049622,158.23285547011,7899.75,14845.1682459311,30166,342,31599,7899.75,14845.1682459311,30166,342,0,0,0,0,0,1,0,0,0,0,0,168,0,158.23285547011,0,0,1010,202,451.685731454958,204020,1,1,0,1,4,0,0,0,0,202,202,0,0,0,0,0,0,0,1,202,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,31599,CVE-2020-17518,CWE-22
144.122.71.200-144.122.171.91-46453-53-17,144.122.71.200,46453,144.122.171.91,53,17,2022-06-13 19:39:09.542989,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-172.66.40.212-54222-443-6,144.122.71.200,54222,172.66.40.212,443,6,2022-06-13 19:39:09.543149,118743,14,0,557,0,289,0,39.7857142857143,79.1213076148348,0,0,0,0,4690.80282627187,117.901686836277,9134.07692307692,12450.6024249267,44381,16,118743,9134.07692307692,12450.6024249267,44381,16,0,0,0,0,0,5,0,0,0,0,0,300,0,117.901686836277,0,0,289,39.7857142857143,79.1213076148348,6260.18131868132,1,1,0,5,13,0,0,0,0,39.7857142857143,39.7857142857143,0,557,5,12474,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,118743,Normal Traffic,Normal Traffic
