Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label
144.122.71.200-144.122.71.18-41278-30006-6,144.122.71.200,41278,144.122.71.18,30006,6,2022-06-13 19:37:04.868843,1481,6,0,374.0,0.0,374.0,0.0,62.33333333333333,152.68486063348476,0,0,0,0,252532.0729237002,4051.3166779203243,296.2,408.03455736003536,1018.0,12.0,1481.0,296.2,408.03455736003536,1018.0,12.0,0,0,0,0,0,1,0,0,0,0,0,200,0,4051.3166779203243,0.0,0.0,374.0,62.33333333333333,152.68486063348476,23312.666666666668,1,1,0,1,5,0,0,0,0.0,62.333333333333336,62.333333333333336,0.0,0,0,0,0,0,0,1,62,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,1481,NeedManualLabel
144.122.71.200-144.122.71.18-41270-30006-6,144.122.71.200,41270,144.122.71.18,30006,6,2022-06-13 19:36:59.408679,42681,5,0,528.0,0.0,528.0,0.0,105.6,236.1287784239778,0,0,0,0,12370.844169536796,117.14814554485604,10670.25,19278.626236932272,39586.0,728.0,42681.0,10670.25,19278.626236932272,39586.0,728.0,0,0,0,0,0,1,0,0,0,0,0,168,0,117.14814554485604,0.0,0.0,528.0,105.6,236.1287784239778,55756.8,1,1,0,1,4,0,0,0,0.0,105.6,105.6,0.0,0,0,0,0,0,0,1,105,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,42681,NeedManualLabel
144.122.71.200-172.66.40.212-54174-443-6,144.122.71.200,54174,172.66.40.212,443,6,2022-06-13 19:37:09.549610,144778,14,0,557.0,0.0,289.0,0.0,39.785714285714285,79.12130761483482,0,0,0,0,3847.2696127864733,96.6997748276672,11136.76923076923,17689.725888934543,63859.0,9.0,144778.0,11136.76923076923,17689.725888934543,63859.0,9.0,0,0,0,0,0,5,0,0,0,0,0,300,0,96.6997748276672,0.0,0.0,289.0,39.785714285714285,79.12130761483482,6260.181318681319,1,1,0,5,13,0,0,0,0.0,39.785714285714285,39.785714285714285,0.0,557,5,10925,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,144778,NeedManualLabel
144.122.71.200-144.122.171.91-53-37169-17,144.122.71.200,53,144.122.171.91,37169,17,2022-06-13 19:37:04.758763,0,1,0,108.0,0.0,108.0,108.0,108.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,108.0,108.0,108.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,108.0,108.0,0.0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.71.18-41284-30006-6,144.122.71.200,41284,144.122.71.18,30006,6,2022-06-13 19:37:09.673976,5696,6,0,367.0,0.0,367.0,0.0,61.16666666666667,149.82712260023771,0,0,0,0,64431.1797752809,1053.370786516854,1139.2,1695.3087329451234,4152.0,127.0,5696.0,1139.2,1695.3087329451234,4152.0,127.0,0,0,0,0,0,1,0,0,0,0,0,200,0,1053.370786516854,0.0,0.0,367.0,61.16666666666667,149.82712260023771,22448.166666666664,1,1,0,1,5,0,0,0,0.0,61.166666666666664,61.166666666666664,0.0,0,0,0,0,0,0,1,61,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,5696,NeedManualLabel
144.122.71.200-144.122.71.18-41276-30006-6,144.122.71.200,41276,144.122.71.18,30006,6,2022-06-13 19:37:04.838046,28817,5,0,533.0,0.0,533.0,0.0,106.6,238.3648464014776,0,0,0,0,18496.02665093521,173.50869278550857,7204.25,13648.22885639989,27668.0,91.0,28817.0,7204.25,13648.22885639989,27668.0,91.0,0,0,0,0,0,1,0,0,0,0,0,168,0,173.50869278550857,0.0,0.0,533.0,106.6,238.3648464014776,56817.8,1,1,0,1,4,0,0,0,0.0,106.6,106.6,0.0,0,0,0,0,0,0,1,106,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,28817,NeedManualLabel
144.122.71.200-172.66.40.212-54168-443-6,144.122.71.200,54168,172.66.40.212,443,6,2022-06-13 19:37:04.758130,126739,14,0,557.0,0.0,289.0,0.0,39.785714285714285,79.12130761483482,0,0,0,0,4394.8587254120675,110.46323546816687,9749.153846153846,13318.464299899304,46286.0,23.0,126739.0,9749.153846153846,13318.464299899304,46286.0,23.0,0,0,0,0,0,5,0,0,0,0,0,300,0,110.46323546816687,0.0,0.0,289.0,39.785714285714285,79.12130761483482,6260.181318681319,1,1,0,5,13,0,0,0,0.0,39.785714285714285,39.785714285714285,0.0,557,5,10916,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,126739,NeedManualLabel
144.122.71.200-144.122.171.91-50592-53-17,144.122.71.200,50592,144.122.171.91,53,17,2022-06-13 19:37:09.549385,0,1,0,52.0,0.0,52.0,52.0,52.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,52.0,0.0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.171.91-53-34810-17,144.122.71.200,53,144.122.171.91,34810,17,2022-06-13 19:36:59.208027,0,1,0,108.0,0.0,108.0,108.0,108.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,108.0,108.0,108.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,108.0,108.0,0.0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.71.18-41272-30006-6,144.122.71.200,41272,144.122.71.18,30006,6,2022-06-13 19:36:59.454665,6084,6,0,346.0,0.0,346.0,0.0,57.66666666666667,141.2539085004966,0,0,0,0,56870.47994740302,986.1932938856016,1216.8,1775.0931524852438,4359.0,85.0,6084.0,1216.8,1775.0931524852438,4359.0,85.0,0,0,0,0,0,1,0,0,0,0,0,200,0,986.1932938856016,0.0,0.0,346.0,57.66666666666667,141.2539085004966,19952.666666666664,1,1,0,1,5,0,0,0,0.0,57.666666666666664,57.666666666666664,0.0,0,0,0,0,0,0,1,57,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,6084,NeedManualLabel
