Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label
144.122.71.200-144.122.71.18-41300-30006-6,144.122.71.200,41300,144.122.71.18,30006,6,2022-06-13 19:37:50.726705,46223,5,0,1013.0,0.0,1013.0,0.0,202.6,453.0273722414574,0,0,0,0,21915.496614239662,108.17125673366073,11555.75,22437.00198890217,45207.0,78.0,46223.0,11555.75,22437.00198890217,45207.0,78.0,0,0,0,0,0,1,0,0,0,0,0,168,0,108.17125673366073,0.0,0.0,1013.0,202.6,453.0273722414574,205233.80000000002,1,1,0,1,4,0,0,0,0.0,202.6,202.6,0.0,0,0,0,0,0,0,1,202,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,46223,NeedManualLabel
144.122.71.200-172.66.40.212-54192-443-6,144.122.71.200,54192,172.66.40.212,443,6,2022-06-13 19:37:50.650063,143856,14,0,557.0,0.0,289.0,0.0,39.785714285714285,79.12130761483482,0,0,0,0,3871.927483038594,97.3195417639862,11065.846153846152,18437.398545918175,67640.0,24.0,143856.0,11065.846153846152,18437.398545918175,67640.0,24.0,0,0,0,0,0,5,0,0,0,0,0,300,0,97.3195417639862,0.0,0.0,289.0,39.785714285714285,79.12130761483482,6260.181318681319,1,1,0,5,13,0,0,0,0.0,39.785714285714285,39.785714285714285,0.0,557,5,11351,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,143856,NeedManualLabel
144.122.71.200-144.122.171.91-46571-53-17,144.122.71.200,46571,144.122.171.91,53,17,2022-06-13 19:37:39.937216,0,1,0,52.0,0.0,52.0,52.0,52.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,52.0,0.0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.71.18-41294-30006-6,144.122.71.200,41294,144.122.71.18,30006,6,2022-06-13 19:37:45.659914,30725,5,0,533.0,0.0,533.0,0.0,106.6,238.3648464014776,0,0,0,0,17347.436940602118,162.73393002441009,7681.25,14566.01071844999,29527.0,139.0,30725.0,7681.25,14566.01071844999,29527.0,139.0,0,0,0,0,0,1,0,0,0,0,0,168,0,162.73393002441009,0.0,0.0,533.0,106.6,238.3648464014776,56817.8,1,1,0,1,4,0,0,0,0.0,106.6,106.6,0.0,0,0,0,0,0,0,1,106,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,30725,NeedManualLabel
144.122.71.200-172.66.40.212-54186-443-6,144.122.71.200,54186,172.66.40.212,443,6,2022-06-13 19:37:45.598788,113285,13,0,557.0,0.0,289.0,0.0,42.84615384615385,81.48501513964204,0,0,0,0,4916.802754115726,114.75482190934369,9440.416666666666,13112.405669707206,46159.0,5.0,113285.0,9440.416666666666,13112.405669707206,46159.0,5.0,0,0,0,0,0,5,0,0,0,0,0,280,0,114.75482190934369,0.0,0.0,289.0,42.84615384615385,81.48501513964204,6639.807692307692,1,1,0,5,12,0,0,0,0.0,42.84615384615385,42.84615384615385,0.0,557,5,13694,0,0,0,1,42,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,113285,NeedManualLabel
144.122.71.200-144.122.171.91-53-44531-17,144.122.71.200,53,144.122.171.91,44531,17,2022-06-13 19:37:50.650734,0,1,0,108.0,0.0,108.0,108.0,108.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,108.0,108.0,108.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,108.0,108.0,0.0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-172.66.40.212-54180-443-6,144.122.71.200,54180,172.66.40.212,443,6,2022-06-13 19:37:39.937447,141809,15,0,557.0,0.0,289.0,0.0,37.13333333333333,76.93212840518831,0,0,0,0,3927.8184036274147,105.77607909230021,10129.214285714286,14645.17606679662,51627.0,21.0,141809.0,10129.214285714286,14645.17606679662,51627.0,21.0,0,0,0,0,0,5,0,0,0,0,0,320,0,105.77607909230021,0.0,0.0,289.0,37.13333333333333,76.93212840518831,5918.552380952381,1,1,0,5,14,0,0,0,0.0,37.13333333333333,37.13333333333333,0.0,557,5,9788,0,0,0,1,37,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,141809,NeedManualLabel
144.122.71.200-144.122.71.18-41296-30006-6,144.122.71.200,41296,144.122.71.18,30006,6,2022-06-13 19:37:45.693264,5193,6,0,356.0,0.0,356.0,0.0,59.333333333333336,145.33639140513523,0,0,0,0,68553.82245330252,1155.4015020219526,1038.6,1525.9737219231529,3742.0,57.0,5193.0,1038.6,1525.9737219231529,3742.0,57.0,0,0,0,0,0,1,0,0,0,0,0,200,0,1155.4015020219526,0.0,0.0,356.0,59.333333333333336,145.33639140513523,21122.666666666668,1,1,0,1,5,0,0,0,0.0,59.333333333333336,59.333333333333336,0.0,0,0,0,0,0,0,1,59,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,5193,NeedManualLabel
144.122.71.200-144.122.171.91-53-46571-17,144.122.71.200,53,144.122.171.91,46571,17,2022-06-13 19:37:39.938155,0,1,0,108.0,0.0,108.0,108.0,108.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,108.0,108.0,108.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,108.0,108.0,0.0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.171.91-53-36276-17,144.122.71.200,53,144.122.171.91,36276,17,2022-06-13 19:37:45.599432,0,1,0,108.0,0.0,108.0,108.0,108.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,108.0,108.0,108.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,108.0,108.0,0.0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
