Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label
144.122.71.200-144.122.171.91-44608-53-17,144.122.71.200,44608,144.122.171.91,53,17,2022-06-13 19:38:47.554806,0,1,0,52.0,0.0,52.0,52.0,52.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,52.0,0.0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.71.18-41306-30006-6,144.122.71.200,41306,144.122.71.18,30006,6,2022-06-13 19:38:39.723574,39051,5,0,520.0,0.0,520.0,0.0,104.0,232.55106965997814,0,0,0,0,13315.920206908913,128.03769429720109,9762.75,18606.216172290377,37667.0,203.0,39051.0,9762.75,18606.216172290377,37667.0,203.0,0,0,0,0,0,1,0,0,0,0,0,168,0,128.03769429720109,0.0,0.0,520.0,104.0,232.55106965997814,54080.00000000001,1,1,0,1,4,0,0,0,0.0,104.0,104.0,0.0,0,0,0,0,0,0,1,104,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,39051,NeedManualLabel
144.122.71.200-144.122.71.18-41320-30006-6,144.122.71.200,41320,144.122.71.18,30006,6,2022-06-13 19:38:47.661527,4857,6,0,359.0,0.0,359.0,0.0,59.83333333333333,146.56113627652684,0,0,0,0,73913.93864525427,1235.3304508956146,971.4000000000001,1319.7584248641872,3290.0,65.0,4857.0,971.4000000000001,1319.7584248641872,3290.0,65.0,0,0,0,0,0,1,0,0,0,0,0,200,0,1235.3304508956146,0.0,0.0,359.0,59.83333333333333,146.56113627652684,21480.166666666668,1,1,0,1,5,0,0,0,0.0,59.833333333333336,59.833333333333336,0.0,0,0,0,0,0,0,1,59,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,4857,NeedManualLabel
144.122.71.200-144.122.71.18-41312-30006-6,144.122.71.200,41312,144.122.71.18,30006,6,2022-06-13 19:38:43.030606,38425,5,0,551.0,0.0,551.0,0.0,110.2,246.41469112047682,0,0,0,0,14339.622641509433,130.12361743656473,9606.25,18419.18981886373,37230.0,116.0,38425.0,9606.25,18419.18981886373,37230.0,116.0,0,0,0,0,0,1,0,0,0,0,0,168,0,130.12361743656473,0.0,0.0,551.0,110.2,246.41469112047682,60720.2,1,1,0,1,4,0,0,0,0.0,110.2,110.2,0.0,0,0,0,0,0,0,1,110,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,38425,NeedManualLabel
144.122.71.200-144.122.71.18-41318-30006-6,144.122.71.200,41318,144.122.71.18,30006,6,2022-06-13 19:38:47.617192,41643,5,0,1026.0,0.0,1026.0,0.0,205.2,458.84114898295684,0,0,0,0,24637.9943808083,120.06819873688255,10410.75,18385.162629595277,37929.0,70.0,41643.0,10410.75,18385.162629595277,37929.0,70.0,0,0,0,0,0,1,0,0,0,0,0,168,0,120.06819873688255,0.0,0.0,1026.0,205.2,458.84114898295684,210535.2,1,1,0,1,4,0,0,0,0.0,205.2,205.2,0.0,0,0,0,0,0,0,1,205,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,41643,NeedManualLabel
144.122.71.200-172.66.40.212-54204-443-6,144.122.71.200,54204,172.66.40.212,443,6,2022-06-13 19:38:42.963581,134449,14,0,557.0,0.0,289.0,0.0,39.785714285714285,79.12130761483482,0,0,0,0,4142.834829563626,104.12870307700317,10342.23076923077,15574.202109866636,57393.0,9.0,134449.0,10342.23076923077,15574.202109866636,57393.0,9.0,0,0,0,0,0,5,0,0,0,0,0,300,0,104.12870307700317,0.0,0.0,289.0,39.785714285714285,79.12130761483482,6260.181318681319,1,1,0,5,13,0,0,0,0.0,39.785714285714285,39.785714285714285,0.0,557,5,15695,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,134449,NeedManualLabel
144.122.71.200-144.122.71.18-41314-30006-6,144.122.71.200,41314,144.122.71.18,30006,6,2022-06-13 19:38:43.071191,5743,6,0,358.0,0.0,358.0,0.0,59.666666666666664,146.15288798606295,0,0,0,0,62336.75779209472,1044.7501305937662,1148.6,1650.6414813641393,4024.0,62.0,5743.0,1148.6,1650.6414813641393,4024.0,62.0,0,0,0,0,0,1,0,0,0,0,0,200,0,1044.7501305937662,0.0,0.0,358.0,59.666666666666664,146.15288798606295,21360.666666666664,1,1,0,1,5,0,0,0,0.0,59.666666666666664,59.666666666666664,0.0,0,0,0,0,0,0,1,59,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,5743,NeedManualLabel
144.122.71.200-144.122.171.91-53-44608-17,144.122.71.200,53,144.122.171.91,44608,17,2022-06-13 19:38:47.555791,0,1,0,108.0,0.0,108.0,108.0,108.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,108.0,108.0,108.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,108.0,108.0,0.0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-172.66.40.212-54210-443-6,144.122.71.200,54210,172.66.40.212,443,6,2022-06-13 19:38:47.555004,125586,14,0,557.0,0.0,289.0,0.0,39.785714285714285,79.12130761483482,0,0,0,0,4435.2077460863475,111.47739397703566,9660.461538461539,15308.926718396386,56564.0,8.0,125586.0,9660.461538461539,15308.926718396386,56564.0,8.0,0,0,0,0,0,5,0,0,0,0,0,300,0,111.47739397703566,0.0,0.0,289.0,39.785714285714285,79.12130761483482,6260.181318681319,1,1,0,5,13,0,0,0,0.0,39.785714285714285,39.785714285714285,0.0,557,5,16843,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,125586,NeedManualLabel
144.122.71.200-144.122.71.18-41308-30006-6,144.122.71.200,41308,144.122.71.18,30006,6,2022-06-13 19:38:39.766186,2148,6,0,365.0,0.0,365.0,0.0,60.833333333333336,149.01062601931,0,0,0,0,169925.51210428303,2793.2960893854747,429.59999999999997,582.1016234301361,1451.0,10.0,2148.0,429.59999999999997,582.1016234301361,1451.0,10.0,0,0,0,0,0,1,0,0,0,0,0,200,0,2793.2960893854747,0.0,0.0,365.0,60.833333333333336,149.01062601931,22204.166666666664,1,1,0,1,5,0,0,0,0.0,60.833333333333336,60.833333333333336,0.0,0,0,0,0,0,0,1,60,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,2148,NeedManualLabel
