Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label
144.122.71.200-144.122.71.18-41330-30006-6,144.122.71.200,41330,144.122.71.18,30006,6,2022-06-13 19:39:09.619413,28173,5,0,550.0,0.0,550.0,0.0,110.0,245.96747752497689,0,0,0,0,19522.237603379122,177.47488730344656,7043.25,13233.820218792958,26893.0,313.0,28173.0,7043.25,13233.820218792958,26893.0,313.0,0,0,0,0,0,1,0,0,0,0,0,168,0,177.47488730344656,0.0,0.0,550.0,110.0,245.96747752497689,60500.00000000001,1,1,0,1,4,0,0,0,0.0,110.0,110.0,0.0,0,0,0,0,0,0,1,110,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,28173,NeedManualLabel
144.122.71.200-144.122.71.18-41324-30006-6,144.122.71.200,41324,144.122.71.18,30006,6,2022-06-13 19:39:06.239334,37913,5,0,525.0,0.0,525.0,0.0,105.0,234.7871376374779,0,0,0,0,13847.492944372641,131.88088518450135,9478.25,17820.869738876383,36201.0,207.0,37913.0,9478.25,17820.869738876383,36201.0,207.0,0,0,0,0,0,1,0,0,0,0,0,168,0,131.88088518450135,0.0,0.0,525.0,105.0,234.7871376374779,55125.0,1,1,0,1,4,0,0,0,0.0,105.0,105.0,0.0,0,0,0,0,0,0,1,105,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,37913,NeedManualLabel
144.122.71.200-172.66.40.212-54216-443-6,144.122.71.200,54216,172.66.40.212,443,6,2022-06-13 19:39:06.168729,123638,14,0,557.0,0.0,289.0,0.0,39.785714285714285,79.12130761483482,0,0,0,0,4505.0874326663325,113.23379543506042,9510.615384615385,15182.549854676703,56336.0,28.0,123638.0,9510.615384615385,15182.549854676703,56336.0,28.0,0,0,0,0,0,5,0,0,0,0,0,300,0,113.23379543506042,0.0,0.0,289.0,39.785714285714285,79.12130761483482,6260.181318681319,1,1,0,5,13,0,0,0,0.0,39.785714285714285,39.785714285714285,0.0,557,5,14415,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,123638,NeedManualLabel
144.122.71.200-144.122.171.91-41021-53-17,144.122.71.200,41021,144.122.171.91,53,17,2022-06-13 19:39:14.897345,0,1,0,52.0,0.0,52.0,52.0,52.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,52.0,0.0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.171.91-53-58628-17,144.122.71.200,53,144.122.171.91,58628,17,2022-06-13 19:39:06.169340,0,1,0,108.0,0.0,108.0,108.0,108.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,108.0,108.0,108.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,108.0,108.0,0.0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.71.18-41332-30006-6,144.122.71.200,41332,144.122.71.18,30006,6,2022-06-13 19:39:09.648339,1545,6,0,353.0,0.0,353.0,0.0,58.83333333333333,144.11164653374362,0,0,0,0,228478.9644012945,3883.495145631068,309.0,477.5908290576778,1158.0,8.0,1545.0,309.0,477.5908290576778,1158.0,8.0,0,0,0,0,0,1,0,0,0,0,0,200,0,3883.495145631068,0.0,0.0,353.0,58.83333333333333,144.11164653374362,20768.166666666664,1,1,0,1,5,0,0,0,0.0,58.833333333333336,58.833333333333336,0.0,0,0,0,0,0,0,1,58,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,1545,NeedManualLabel
144.122.71.200-144.122.71.18-41338-30006-6,144.122.71.200,41338,144.122.71.18,30006,6,2022-06-13 19:39:15.001898,1696,6,0,359.0,0.0,359.0,0.0,59.83333333333333,146.56113627652684,0,0,0,0,211674.52830188678,3537.735849056604,339.2,507.11014582632833,1240.0,19.0,1696.0,339.2,507.11014582632833,1240.0,19.0,0,0,0,0,0,1,0,0,0,0,0,200,0,3537.735849056604,0.0,0.0,359.0,59.83333333333333,146.56113627652684,21480.166666666668,1,1,0,1,5,0,0,0,0.0,59.833333333333336,59.833333333333336,0.0,0,0,0,0,0,0,1,59,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,1696,NeedManualLabel
144.122.71.200-144.122.71.18-41336-30006-6,144.122.71.200,41336,144.122.71.18,30006,6,2022-06-13 19:39:14.963469,31599,5,0,1010.0,0.0,1010.0,0.0,202.0,451.68573145495753,0,0,0,0,31963.03680496218,158.2328554701098,7899.75,14845.168245931065,30166.0,342.0,31599.0,7899.75,14845.168245931065,30166.0,342.0,0,0,0,0,0,1,0,0,0,0,0,168,0,158.2328554701098,0.0,0.0,1010.0,202.0,451.68573145495753,204020.00000000003,1,1,0,1,4,0,0,0,0.0,202.0,202.0,0.0,0,0,0,0,0,0,1,202,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,31599,NeedManualLabel
144.122.71.200-144.122.171.91-46453-53-17,144.122.71.200,46453,144.122.171.91,53,17,2022-06-13 19:39:09.542989,0,1,0,52.0,0.0,52.0,52.0,52.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,52.0,0.0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-172.66.40.212-54222-443-6,144.122.71.200,54222,172.66.40.212,443,6,2022-06-13 19:39:09.543149,118743,14,0,557.0,0.0,289.0,0.0,39.785714285714285,79.12130761483482,0,0,0,0,4690.802826271864,117.90168683627667,9134.076923076922,12450.602424926665,44381.0,16.0,118743.0,9134.076923076922,12450.602424926665,44381.0,16.0,0,0,0,0,0,5,0,0,0,0,0,300,0,117.90168683627667,0.0,0.0,289.0,39.785714285714285,79.12130761483482,6260.181318681319,1,1,0,5,13,0,0,0,0.0,39.785714285714285,39.785714285714285,0.0,557,5,12474,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,118743,NeedManualLabel
144.122.71.200-172.66.40.212-54228-443-6,144.122.71.200,54228,172.66.40.212,443,6,2022-06-13 19:39:14.897529,117186,14,0,557.0,0.0,289.0,0.0,39.785714285714285,79.12130761483482,0,0,0,0,4753.127506698753,119.46819585957367,9014.307692307691,14421.007641542803,53456.0,23.0,117186.0,9014.307692307691,14421.007641542803,53456.0,23.0,0,0,0,0,0,5,0,0,0,0,0,300,0,119.46819585957367,0.0,0.0,289.0,39.785714285714285,79.12130761483482,6260.181318681319,1,1,0,5,13,0,0,0,0.0,39.785714285714285,39.785714285714285,0.0,557,5,15382,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,117186,NeedManualLabel
144.122.71.200-144.122.71.18-41326-30006-6,144.122.71.200,41326,144.122.71.18,30006,6,2022-06-13 19:39:06.280409,1483,7,0,353.0,0.0,353.0,0.0,50.42857142857142,133.4214589722572,0,0,0,0,238031.01820633851,4720.161834120027,247.16666666666669,422.7932907067787,1103.0,14.0,1483.0,247.16666666666669,422.7932907067787,1103.0,14.0,0,0,0,0,0,1,0,0,0,0,0,232,0,4720.161834120027,0.0,0.0,353.0,50.42857142857142,133.4214589722572,17801.285714285714,1,1,0,1,6,0,0,0,0.0,50.42857142857143,50.42857142857143,0.0,0,0,0,0,0,0,1,50,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,1483,NeedManualLabel
144.122.71.200-144.122.171.91-58628-53-17,144.122.71.200,58628,144.122.171.91,53,17,2022-06-13 19:39:06.168555,0,1,0,52.0,0.0,52.0,52.0,52.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,52.0,0.0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.171.91-53-46453-17,144.122.71.200,53,144.122.171.91,46453,17,2022-06-13 19:39:09.544042,0,1,0,108.0,0.0,108.0,108.0,108.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,108.0,108.0,108.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,108.0,108.0,0.0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.171.91-53-41021-17,144.122.71.200,53,144.122.171.91,41021,17,2022-06-13 19:39:14.898219,0,1,0,108.0,0.0,108.0,108.0,108.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,108.0,108.0,108.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,108.0,108.0,0.0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
