Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label-I,Label-II
144.122.71.200-144.122.171.91-57870-53-17,144.122.71.200,57870,144.122.171.91,53,17,2022-06-13 19:41:36.983047,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-48455-17,144.122.71.200,53,144.122.171.91,48455,17,2022-06-13 19:41:31.160887,0,1,0,84,0,84,84,84,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,84,84,84,0,0,0,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,1,84,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-47868-30010-6,144.122.71.200,47868,144.122.71.18,30010,6,2022-06-13 19:41:37.058940,11487,8,0,302,0,302,0,37.75,106.773123959169,0,0,0,0,26290.5893618873,696.439453295029,1641,3547.57236242852,9640,6,11487,1641,3547.57236242852,9640,6,0,0,0,0,0,1,0,0,0,0,0,264,0,696.439453295029,0,0,302,37.75,106.773123959169,11400.5,1,1,0,1,7,0,0,0,0,37.75,37.75,0,0,0,0,0,0,0,1,37,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,11487,CVE_2021_26086,CWE-22
144.122.71.200-144.122.71.18-47864-30010-6,144.122.71.200,47864,144.122.71.18,30010,6,2022-06-13 19:41:31.224074,4023,5,0,304,0,304,0,60.8,135.952933031987,0,0,0,0,75565.4983842903,1242.85359184688,1005.75,1406.25705924154,3102,174,4023,1005.75,1406.25705924154,3102,174,0,0,0,0,0,1,0,0,0,0,0,168,0,1242.85359184688,0,0,304,60.8,135.952933031987,18483.2,1,1,0,1,4,0,0,0,0,60.8,60.8,0,0,0,0,0,0,0,1,60,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,4023,CVE_2021_26086,CWE-22
144.122.71.200-144.122.171.91-36664-53-17,144.122.71.200,36664,144.122.171.91,53,17,2022-06-13 19:41:36.983210,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-57870-17,144.122.71.200,53,144.122.171.91,57870,17,2022-06-13 19:41:36.984253,0,1,0,84,0,84,84,84,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,84,84,84,0,0,0,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,1,84,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-36664-17,144.122.71.200,53,144.122.171.91,36664,17,2022-06-13 19:41:36.984260,0,1,0,108,0,108,108,108,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,108,108,108,0,0,0,0,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-47860-30010-6,144.122.71.200,47860,144.122.71.18,30010,6,2022-06-13 19:41:26.722861,3278,5,0,298,0,298,0,59.6,133.269651458987,0,0,0,0,90909.0909090909,1525.32031726663,819.5,1117.59578262149,2472,121,3278,819.5,1117.59578262149,2472,121,0,0,0,0,0,1,0,0,0,0,0,168,0,1525.32031726663,0,0,298,59.6,133.269651458987,17760.8,1,1,0,1,4,0,0,0,0,59.6,59.6,0,0,0,0,0,0,0,1,59,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,3278,CVE_2021_26086,CWE-22
144.122.71.200-172.66.43.44-42124-443-6,144.122.71.200,42124,172.66.43.44,443,6,2022-06-13 19:41:31.160129,80759,14,0,557,0,289,0,39.7857142857143,79.1213076148348,0,0,0,0,6897.06410431036,173.355291670278,6212.23076923077,6128.99121870593,15120,9,80759,6212.23076923077,6128.99121870593,15120,9,0,0,0,0,0,5,0,0,0,0,0,300,0,173.355291670278,0,0,289,39.7857142857143,79.1213076148348,6260.18131868132,1,1,0,5,13,0,0,0,0,39.7857142857143,39.7857142857143,0,557,5,15660,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,80759,Normal Traffic,Normal Traffic
144.122.71.200-172.66.43.44-42128-443-6,144.122.71.200,42128,172.66.43.44,443,6,2022-06-13 19:41:36.983346,100547,14,0,557,0,289,0,39.7857142857143,79.1213076148348,0,0,0,0,5539.69785274548,139.238366137229,7734.38461538462,8259.52701973567,22026,30,100547,7734.38461538462,8259.52701973567,22026,30,0,0,0,0,0,5,0,0,0,0,0,300,0,139.238366137229,0,0,289,39.7857142857143,79.1213076148348,6260.18131868132,1,1,0,5,13,0,0,0,0,39.7857142857143,39.7857142857143,0,557,5,11844,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,100547,Normal Traffic,Normal Traffic
