Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label-I,Label-II
144.122.71.200-144.122.171.91-53-60364-17,144.122.71.200,53,144.122.171.91,60364,17,2022-06-13 19:42:09.391179,0,1,0,84,0,84,84,84,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,84,84,84,0,0,0,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,1,84,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-34377-17,144.122.71.200,53,144.122.171.91,34377,17,2022-06-13 19:42:09.391187,0,1,0,108,0,108,108,108,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,108,108,108,0,0,0,0,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-45566-17,144.122.71.200,53,144.122.171.91,45566,17,2022-06-13 19:42:02.484054,0,1,0,108,0,108,108,108,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,108,108,108,0,0,0,0,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-60364-53-17,144.122.71.200,60364,144.122.171.91,53,17,2022-06-13 19:42:09.390335,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-172.66.43.44-42132-443-6,144.122.71.200,42132,172.66.43.44,443,6,2022-06-13 19:42:02.483439,96412,13,0,557,0,289,0,42.8461538461538,81.485015139642,0,0,0,0,5777.28913413268,134.837986972576,8034.33333333333,8190.03745505181,23958,19,96412,8034.33333333333,8190.03745505181,23958,19,0,0,0,0,0,5,0,0,0,0,0,280,0,134.837986972576,0,0,289,42.8461538461538,81.485015139642,6639.80769230769,1,1,0,5,12,0,0,0,0,42.8461538461538,42.8461538461538,0,557,5,12226,0,0,0,1,42,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,96412,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-37837-17,144.122.71.200,53,144.122.171.91,37837,17,2022-06-13 19:42:11.961498,0,1,0,108,0,108,108,108,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,108,108,108,0,0,0,0,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-47876-30010-6,144.122.71.200,47876,144.122.71.18,30010,6,2022-06-13 19:42:09.460849,6701,8,0,291,0,291,0,36.375,102.884036662643,0,0,0,0,43426.3542754813,1193.85166393076,957.285714285714,1875.32483535393,5121,8,6701,957.285714285714,1875.32483535393,5121,8,0,0,0,0,0,1,0,0,0,0,0,264,0,1193.85166393076,0,0,291,36.375,102.884036662643,10585.125,1,1,0,1,7,0,0,0,0,36.375,36.375,0,0,0,0,0,0,0,1,36,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,6701,CVE_2021_26086,CWE-22
144.122.71.200-144.122.171.91-49205-53-17,144.122.71.200,49205,144.122.171.91,53,17,2022-06-13 19:42:11.960574,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-172.66.43.44-42140-443-6,144.122.71.200,42140,172.66.43.44,443,6,2022-06-13 19:42:11.960788,167195,13,0,557,0,289,0,42.8461538461538,81.485015139642,0,0,0,0,3331.43933730076,77.7535213373606,13932.9166666667,19719.1329537323,70381,8,167195,13932.9166666667,19719.1329537323,70381,8,0,0,0,0,0,5,0,0,0,0,0,280,0,77.7535213373606,0,0,289,42.8461538461538,81.485015139642,6639.80769230769,1,1,0,5,12,0,0,0,0,42.8461538461538,42.8461538461538,0,557,5,11236,0,0,0,1,42,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,167195,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-45566-53-17,144.122.71.200,45566,144.122.171.91,53,17,2022-06-13 19:42:02.483281,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-38620-17,144.122.71.200,53,144.122.171.91,38620,17,2022-06-13 19:42:02.484047,0,1,0,84,0,84,84,84,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,84,84,84,0,0,0,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,1,84,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-47872-30010-6,144.122.71.200,47872,144.122.71.18,30010,6,2022-06-13 19:42:02.563634,3313,5,0,291,0,291,0,58.2,130.139156290488,0,0,0,0,87835.7983700574,1509.20615756112,828.25,1077.98187214195,2419,117,3313,828.25,1077.98187214195,2419,117,0,0,0,0,0,1,0,0,0,0,0,168,0,1509.20615756112,0,0,291,58.2,130.139156290488,16936.2,1,1,0,1,4,0,0,0,0,58.2,58.2,0,0,0,0,0,0,0,1,58,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,3313,CVE_2021_26086,CWE-22
144.122.71.200-144.122.171.91-37837-53-17,144.122.71.200,37837,144.122.171.91,53,17,2022-06-13 19:42:11.960647,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-47880-30010-6,144.122.71.200,47880,144.122.71.18,30010,6,2022-06-13 19:42:12.106781,8092,5,0,321,0,321,0,64.2,143.555564155487,0,0,0,0,39668.8086999506,617.894216510133,2023,3215.67121039035,6845,323,8092,2023,3215.67121039035,6845,323,0,0,0,0,0,1,0,0,0,0,0,168,0,617.894216510133,0,0,321,64.2,143.555564155487,20608.2,1,1,0,1,4,0,0,0,0,64.2,64.2,0,0,0,0,0,0,0,1,64,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,8092,CVE_2021_26086,CWE-22
144.122.71.200-144.122.171.91-38620-53-17,144.122.71.200,38620,144.122.171.91,53,17,2022-06-13 19:42:02.483199,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-34377-53-17,144.122.71.200,34377,144.122.171.91,53,17,2022-06-13 19:42:09.390454,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
