Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label-I,Label-II
144.122.71.200-144.122.171.91-53-44162-17,144.122.71.200,53,144.122.171.91,44162,17,2022-06-13 19:42:38.252401,0,1,0,84,0,84,84,84,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,84,84,84,0,0,0,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,1,84,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-172.66.43.44-42148-443-6,144.122.71.200,42148,172.66.43.44,443,6,2022-06-13 19:42:45.436316,93212,13,0,557,0,289,0,42.8461538461538,81.485015139642,0,0,0,0,5975.62545594988,139.467021413552,7767.66666666667,7529.62632579204,20869,12,93212,7767.66666666667,7529.62632579204,20869,12,0,0,0,0,0,5,0,0,0,0,0,280,0,139.467021413552,0,0,289,42.8461538461538,81.485015139642,6639.80769230769,1,1,0,5,12,0,0,0,0,42.8461538461538,42.8461538461538,0,557,5,11524,0,0,0,1,42,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,93212,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-44674-17,144.122.71.200,53,144.122.171.91,44674,17,2022-06-13 19:42:45.436972,0,1,0,84,0,84,84,84,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,84,84,84,0,0,0,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,1,84,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-172.66.43.44-42152-443-6,144.122.71.200,42152,172.66.43.44,443,6,2022-06-13 19:42:51.360960,98450,14,0,557,0,289,0,39.7857142857143,79.1213076148348,0,0,0,0,5657.69426104622,142.204164550533,7573.07692307692,9011.63572334437,30269,25,98450,7573.07692307692,9011.63572334437,30269,25,0,0,0,0,0,5,0,0,0,0,0,300,0,142.204164550533,0,0,289,39.7857142857143,79.1213076148348,6260.18131868132,1,1,0,5,13,0,0,0,0,39.7857142857143,39.7857142857143,0,557,5,14732,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,98450,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53345-53-17,144.122.71.200,53345,144.122.171.91,53,17,2022-06-13 19:42:51.360769,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-38869-17,144.122.71.200,53,144.122.171.91,38869,17,2022-06-13 19:42:38.252404,0,1,0,108,0,108,108,108,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,108,108,108,0,0,0,0,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-44162-53-17,144.122.71.200,44162,144.122.171.91,53,17,2022-06-13 19:42:38.251501,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-38869-53-17,144.122.71.200,38869,144.122.171.91,53,17,2022-06-13 19:42:38.251565,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-47892-30010-6,144.122.71.200,47892,144.122.71.18,30010,6,2022-06-13 19:42:51.431116,15979,8,0,303,0,303,0,37.875,107.126677349762,0,0,0,0,18962.3881344264,500.657112460104,2282.71428571429,4644.21291193982,12719,9,15979,2282.71428571429,4644.21291193982,12719,9,0,0,0,0,0,1,0,0,0,0,0,264,0,500.657112460104,0,0,303,37.875,107.126677349762,11476.125,1,1,0,1,7,0,0,0,0,37.875,37.875,0,0,0,0,0,0,0,1,37,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,15979,CVE_2021_26086,CWE-22
144.122.71.200-172.66.43.44-42144-443-6,144.122.71.200,42144,172.66.43.44,443,6,2022-06-13 19:42:38.251703,81715,14,0,557,0,289,0,39.7857142857143,79.1213076148348,0,0,0,0,6816.37398274491,171.327173713517,6285.76923076923,6664.0138324417,19314,16,81715,6285.76923076923,6664.0138324417,19314,16,0,0,0,0,0,5,0,0,0,0,0,300,0,171.327173713517,0,0,289,39.7857142857143,79.1213076148348,6260.18131868132,1,1,0,5,13,0,0,0,0,39.7857142857143,39.7857142857143,0,557,5,12869,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,81715,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-53345-17,144.122.71.200,53,144.122.171.91,53345,17,2022-06-13 19:42:51.361529,0,1,0,108,0,108,108,108,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,108,108,108,0,0,0,0,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-46682-17,144.122.71.200,53,144.122.171.91,46682,17,2022-06-13 19:42:51.361524,0,1,0,84,0,84,84,84,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,84,84,84,0,0,0,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,1,84,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-47884-30010-6,144.122.71.200,47884,144.122.71.18,30010,6,2022-06-13 19:42:38.319279,3237,5,0,323,0,323,0,64.6,144.449991346486,0,0,0,0,99783.75038616,1544.64009885697,809.25,1025.90167657529,2303,134,3237,809.25,1025.90167657529,2303,134,0,0,0,0,0,1,0,0,0,0,0,168,0,1544.64009885697,0,0,323,64.6,144.449991346486,20865.8,1,1,0,1,4,0,0,0,0,64.6,64.6,0,0,0,0,0,0,0,1,64,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,3237,CVE_2021_26086,CWE-22
