Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label-I,Label-II
144.122.71.200-144.122.171.91-53-35433-17,144.122.71.200,53,144.122.171.91,35433,17,2022-06-13 19:43:25.361957,0,1,0,108,0,108,108,108,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,108,108,108,0,0,0,0,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-34599-53-17,144.122.71.200,34599,144.122.171.91,53,17,2022-06-13 19:43:20.158302,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-42121-17,144.122.71.200,53,144.122.171.91,42121,17,2022-06-13 19:43:13.252884,0,1,0,108,0,108,108,108,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,108,108,108,0,0,0,0,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-35433-53-17,144.122.71.200,35433,144.122.171.91,53,17,2022-06-13 19:43:25.360144,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-47896-30010-6,144.122.71.200,47896,144.122.71.18,30010,6,2022-06-13 19:43:13.323489,3854,5,0,291,0,291,0,58.2,130.139156290488,0,0,0,0,75505.9678256357,1297.35339906591,963.5,1314.84181558087,2917,151,3854,963.5,1314.84181558087,2917,151,0,0,0,0,0,1,0,0,0,0,0,168,0,1297.35339906591,0,0,291,58.2,130.139156290488,16936.2,1,1,0,1,4,0,0,0,0,58.2,58.2,0,0,0,0,0,0,0,1,58,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,3854,CVE_2021_26086,CWE-22
144.122.71.200-172.66.43.44-42160-443-6,144.122.71.200,42160,172.66.43.44,443,6,2022-06-13 19:43:20.158440,121863,14,0,557,0,289,0,39.7857142857143,79.1213076148348,0,0,0,0,4570.70644904524,114.883106439198,9374.07692307692,10125.2595395669,27402,30,121863,9374.07692307692,10125.2595395669,27402,30,0,0,0,0,0,5,0,0,0,0,0,300,0,114.883106439198,0,0,289,39.7857142857143,79.1213076148348,6260.18131868132,1,1,0,5,13,0,0,0,0,39.7857142857143,39.7857142857143,0,557,5,10612,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,121863,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-50294-53-17,144.122.71.200,50294,144.122.171.91,53,17,2022-06-13 19:43:25.360085,0,1,0,52,0,52,52,52,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
144.122.71.200-144.122.71.18-47904-30010-6,144.122.71.200,47904,144.122.71.18,30010,6,2022-06-13 19:43:25.444669,7122,8,0,305,0,305,0,38.125,107.833784130948,0,0,0,0,42825.049143499,1123.2799775344,1017.42857142857,2067.16648717859,5621,6,7122,1017.42857142857,2067.16648717859,5621,6,0,0,0,0,0,1,0,0,0,0,0,264,0,1123.2799775344,0,0,305,38.125,107.833784130948,11628.125,1,1,0,1,7,0,0,0,0,38.125,38.125,0,0,0,0,0,0,0,1,38,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,7122,CVE_2021_26086,CWE-22
144.122.71.200-172.66.43.44-42156-443-6,144.122.71.200,42156,172.66.43.44,443,6,2022-06-13 19:43:13.252074,87819,14,0,557,0,289,0,39.7857142857143,79.1213076148348,0,0,0,0,6342.59101105683,159.418804586707,6755.30769230769,6805.07322253792,19023,21,87819,6755.30769230769,6805.07322253792,19023,21,0,0,0,0,0,5,0,0,0,0,0,300,0,159.418804586707,0,0,289,39.7857142857143,79.1213076148348,6260.18131868132,1,1,0,5,13,0,0,0,0,39.7857142857143,39.7857142857143,0,557,5,14816,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,87819,Normal Traffic,Normal Traffic
144.122.71.200-144.122.171.91-53-56467-17,144.122.71.200,53,144.122.171.91,56467,17,2022-06-13 19:43:13.252882,0,1,0,84,0,84,84,84,0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,84,84,84,0,0,0,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,1,84,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Normal Traffic,Normal Traffic
