Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label
144.122.71.200-144.122.171.91-57870-53-17,144.122.71.200,57870,144.122.171.91,53,17,2022-06-13 19:41:36.983047,0,1,0,52.0,0.0,52.0,52.0,52.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,52.0,0.0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.171.91-53-48455-17,144.122.71.200,53,144.122.171.91,48455,17,2022-06-13 19:41:31.160887,0,1,0,84.0,0.0,84.0,84.0,84.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,84.0,84.0,84.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,84.0,84.0,0.0,0,0,0,0,0,0,1,84,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.71.18-47868-30010-6,144.122.71.200,47868,144.122.71.18,30010,6,2022-06-13 19:41:37.058940,11487,8,0,302.0,0.0,302.0,0.0,37.75,106.77312395916867,0,0,0,0,26290.58936188735,696.4394532950291,1640.9999999999998,3547.5723624285197,9640.0,6.0,11487.0,1640.9999999999998,3547.5723624285197,9640.0,6.0,0,0,0,0,0,1,0,0,0,0,0,264,0,696.4394532950291,0.0,0.0,302.0,37.75,106.77312395916867,11400.499999999998,1,1,0,1,7,0,0,0,0.0,37.75,37.75,0.0,0,0,0,0,0,0,1,37,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,11487,NeedManualLabel
144.122.71.200-144.122.71.18-47864-30010-6,144.122.71.200,47864,144.122.71.18,30010,6,2022-06-13 19:41:31.224074,4023,5,0,304.0,0.0,304.0,0.0,60.8,135.95293303198721,0,0,0,0,75565.49838429033,1242.8535918468806,1005.7500000000001,1406.257059241541,3102.0,174.0,4023.0,1005.7500000000001,1406.257059241541,3102.0,174.0,0,0,0,0,0,1,0,0,0,0,0,168,0,1242.8535918468806,0.0,0.0,304.0,60.8,135.95293303198721,18483.2,1,1,0,1,4,0,0,0,0.0,60.8,60.8,0.0,0,0,0,0,0,0,1,60,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,4023,NeedManualLabel
144.122.71.200-144.122.171.91-36664-53-17,144.122.71.200,36664,144.122.171.91,53,17,2022-06-13 19:41:36.983210,0,1,0,52.0,0.0,52.0,52.0,52.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,52.0,0.0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.171.91-53-57870-17,144.122.71.200,53,144.122.171.91,57870,17,2022-06-13 19:41:36.984253,0,1,0,84.0,0.0,84.0,84.0,84.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,84.0,84.0,84.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,84.0,84.0,0.0,0,0,0,0,0,0,1,84,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.171.91-53-36664-17,144.122.71.200,53,144.122.171.91,36664,17,2022-06-13 19:41:36.984260,0,1,0,108.0,0.0,108.0,108.0,108.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,108.0,108.0,108.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,108.0,108.0,0.0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.71.18-47860-30010-6,144.122.71.200,47860,144.122.71.18,30010,6,2022-06-13 19:41:26.722861,3278,5,0,298.0,0.0,298.0,0.0,59.6,133.26965145898745,0,0,0,0,90909.09090909091,1525.320317266626,819.5,1117.5957826214867,2472.0,121.0,3278.0,819.5,1117.5957826214867,2472.0,121.0,0,0,0,0,0,1,0,0,0,0,0,168,0,1525.320317266626,0.0,0.0,298.0,59.6,133.26965145898745,17760.8,1,1,0,1,4,0,0,0,0.0,59.6,59.6,0.0,0,0,0,0,0,0,1,59,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,3278,NeedManualLabel
144.122.71.200-172.66.43.44-42124-443-6,144.122.71.200,42124,172.66.43.44,443,6,2022-06-13 19:41:31.160129,80759,14,0,557.0,0.0,289.0,0.0,39.785714285714285,79.12130761483482,0,0,0,0,6897.064104310356,173.35529167027823,6212.2307692307695,6128.991218705926,15120.0,9.0,80759.0,6212.2307692307695,6128.991218705926,15120.0,9.0,0,0,0,0,0,5,0,0,0,0,0,300,0,173.35529167027823,0.0,0.0,289.0,39.785714285714285,79.12130761483482,6260.181318681319,1,1,0,5,13,0,0,0,0.0,39.785714285714285,39.785714285714285,0.0,557,5,15660,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,80759,NeedManualLabel
144.122.71.200-172.66.43.44-42128-443-6,144.122.71.200,42128,172.66.43.44,443,6,2022-06-13 19:41:36.983346,100547,14,0,557.0,0.0,289.0,0.0,39.785714285714285,79.12130761483482,0,0,0,0,5539.697852745482,139.23836613722935,7734.384615384615,8259.52701973567,22026.0,30.0,100547.0,7734.384615384615,8259.52701973567,22026.0,30.0,0,0,0,0,0,5,0,0,0,0,0,300,0,139.23836613722935,0.0,0.0,289.0,39.785714285714285,79.12130761483482,6260.181318681319,1,1,0,5,13,0,0,0,0.0,39.785714285714285,39.785714285714285,0.0,557,5,11844,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,100547,NeedManualLabel
