Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label
144.122.71.200-144.122.171.91-53-35433-17,144.122.71.200,53,144.122.171.91,35433,17,2022-06-13 19:43:25.361957,0,1,0,108.0,0.0,108.0,108.0,108.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,108.0,108.0,108.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,108.0,108.0,0.0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.171.91-34599-53-17,144.122.71.200,34599,144.122.171.91,53,17,2022-06-13 19:43:20.158302,0,1,0,52.0,0.0,52.0,52.0,52.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,52.0,0.0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.171.91-53-42121-17,144.122.71.200,53,144.122.171.91,42121,17,2022-06-13 19:43:13.252884,0,1,0,108.0,0.0,108.0,108.0,108.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,108.0,108.0,108.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,108.0,108.0,0.0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.171.91-35433-53-17,144.122.71.200,35433,144.122.171.91,53,17,2022-06-13 19:43:25.360144,0,1,0,52.0,0.0,52.0,52.0,52.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,52.0,0.0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.71.18-47896-30010-6,144.122.71.200,47896,144.122.71.18,30010,6,2022-06-13 19:43:13.323489,3854,5,0,291.0,0.0,291.0,0.0,58.2,130.13915629048776,0,0,0,0,75505.9678256357,1297.3533990659057,963.5000000000001,1314.8418155808706,2917.0,151.0,3854.0,963.5000000000001,1314.8418155808706,2917.0,151.0,0,0,0,0,0,1,0,0,0,0,0,168,0,1297.3533990659057,0.0,0.0,291.0,58.2,130.13915629048776,16936.2,1,1,0,1,4,0,0,0,0.0,58.2,58.2,0.0,0,0,0,0,0,0,1,58,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,3854,NeedManualLabel
144.122.71.200-172.66.43.44-42160-443-6,144.122.71.200,42160,172.66.43.44,443,6,2022-06-13 19:43:20.158440,121863,14,0,557.0,0.0,289.0,0.0,39.785714285714285,79.12130761483482,0,0,0,0,4570.706449045239,114.88310643919812,9374.076923076924,10125.259539566861,27402.0,30.0,121863.0,9374.076923076924,10125.259539566861,27402.0,30.0,0,0,0,0,0,5,0,0,0,0,0,300,0,114.88310643919812,0.0,0.0,289.0,39.785714285714285,79.12130761483482,6260.181318681319,1,1,0,5,13,0,0,0,0.0,39.785714285714285,39.785714285714285,0.0,557,5,10612,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,121863,NeedManualLabel
144.122.71.200-144.122.171.91-50294-53-17,144.122.71.200,50294,144.122.171.91,53,17,2022-06-13 19:43:25.360085,0,1,0,52.0,0.0,52.0,52.0,52.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,52.0,0.0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.71.18-47904-30010-6,144.122.71.200,47904,144.122.71.18,30010,6,2022-06-13 19:43:25.444669,7122,8,0,305.0,0.0,305.0,0.0,38.12500000000001,107.83378413094849,0,0,0,0,42825.04914349902,1123.2799775344004,1017.4285714285716,2067.166487178593,5621.0,6.0,7122.0,1017.4285714285716,2067.166487178593,5621.0,6.0,0,0,0,0,0,1,0,0,0,0,0,264,0,1123.2799775344004,0.0,0.0,305.0,38.12500000000001,107.83378413094849,11628.124999999998,1,1,0,1,7,0,0,0,0.0,38.125,38.125,0.0,0,0,0,0,0,0,1,38,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,7122,NeedManualLabel
144.122.71.200-172.66.43.44-42156-443-6,144.122.71.200,42156,172.66.43.44,443,6,2022-06-13 19:43:13.252074,87819,14,0,557.0,0.0,289.0,0.0,39.785714285714285,79.12130761483482,0,0,0,0,6342.591011056833,159.41880458670676,6755.307692307691,6805.073222537915,19023.0,21.0,87819.0,6755.307692307691,6805.073222537915,19023.0,21.0,0,0,0,0,0,5,0,0,0,0,0,300,0,159.41880458670676,0.0,0.0,289.0,39.785714285714285,79.12130761483482,6260.181318681319,1,1,0,5,13,0,0,0,0.0,39.785714285714285,39.785714285714285,0.0,557,5,14816,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,87819,NeedManualLabel
144.122.71.200-144.122.171.91-53-56467-17,144.122.71.200,53,144.122.171.91,56467,17,2022-06-13 19:43:13.252882,0,1,0,84.0,0.0,84.0,84.0,84.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,84.0,84.0,84.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,84.0,84.0,0.0,0,0,0,0,0,0,1,84,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.171.91-53-47522-17,144.122.71.200,53,144.122.171.91,47522,17,2022-06-13 19:43:20.159061,0,1,0,84.0,0.0,84.0,84.0,84.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,84.0,84.0,84.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,84.0,84.0,0.0,0,0,0,0,0,0,1,84,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-172.66.43.44-42164-443-6,144.122.71.200,42164,172.66.43.44,443,6,2022-06-13 19:43:25.360355,102699,13,0,557.0,0.0,289.0,0.0,42.84615384615385,81.48501513964204,0,0,0,0,5423.616588282262,126.58351103710845,8558.25,8747.47439004799,23162.0,10.0,102699.0,8558.25,8747.47439004799,23162.0,10.0,0,0,0,0,0,5,0,0,0,0,0,280,0,126.58351103710845,0.0,0.0,289.0,42.84615384615385,81.48501513964204,6639.807692307692,1,1,0,5,12,0,0,0,0.0,42.84615384615385,42.84615384615385,0.0,557,5,10343,0,0,0,1,42,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,102699,NeedManualLabel
144.122.71.200-144.122.171.91-53-50294-17,144.122.71.200,53,144.122.171.91,50294,17,2022-06-13 19:43:25.361960,0,1,0,84.0,0.0,84.0,84.0,84.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,84.0,84.0,84.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,84.0,84.0,0.0,0,0,0,0,0,0,1,84,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
