Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label
144.122.71.200-144.122.171.91-43905-53-17,144.122.71.200,43905,144.122.171.91,53,17,2022-06-13 20:42:17.546682,0,1,0,52.0,0.0,52.0,52.0,52.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,52.0,0.0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.171.91-53-43905-17,144.122.71.200,53,144.122.171.91,43905,17,2022-06-13 20:42:17.547572,0,1,0,84.0,0.0,84.0,84.0,84.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,84.0,84.0,84.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,84.0,84.0,0.0,0,0,0,0,0,0,1,84,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-172.66.43.44-42308-443-6,144.122.71.200,42308,172.66.43.44,443,6,2022-06-13 20:42:30.170924,113130,14,0,557.0,0.0,289.0,0.0,39.785714285714285,79.12130761483482,0,0,0,0,4923.539291081058,123.75143640060108,8702.307692307691,10777.382786686627,33710.0,6.0,113130.0,8702.307692307691,10777.382786686627,33710.0,6.0,0,0,0,0,0,5,0,0,0,0,0,300,0,123.75143640060108,0.0,0.0,289.0,39.785714285714285,79.12130761483482,6260.181318681319,1,1,0,5,13,0,0,0,0.0,39.785714285714285,39.785714285714285,0.0,557,5,10724,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,113130,NeedManualLabel
144.122.71.200-144.122.171.91-55390-53-17,144.122.71.200,55390,144.122.171.91,53,17,2022-06-13 20:42:30.170778,0,1,0,52.0,0.0,52.0,52.0,52.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,52.0,0.0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-172.66.43.44-42296-443-6,144.122.71.200,42296,172.66.43.44,443,6,2022-06-13 20:42:15.917957,85621,14,0,557.0,0.0,289.0,0.0,39.785714285714285,79.12130761483482,0,0,0,0,6505.413391574497,163.51128811856904,6586.2307692307695,6743.000731052486,17840.0,16.0,85621.0,6586.2307692307695,6743.000731052486,17840.0,16.0,0,0,0,0,0,5,0,0,0,0,0,300,0,163.51128811856904,0.0,0.0,289.0,39.785714285714285,79.12130761483482,6260.181318681319,1,1,0,5,13,0,0,0,0.0,39.785714285714285,39.785714285714285,0.0,557,5,13021,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,85621,NeedManualLabel
144.122.71.200-144.122.171.91-53-41875-17,144.122.71.200,53,144.122.171.91,41875,17,2022-06-13 20:42:22.253828,0,1,0,84.0,0.0,84.0,84.0,84.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,84.0,84.0,84.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,84.0,84.0,0.0,0,0,0,0,0,0,1,84,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.171.91-50506-53-17,144.122.71.200,50506,144.122.171.91,53,17,2022-06-13 20:42:30.170709,0,1,0,52.0,0.0,52.0,52.0,52.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,52.0,0.0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.71.18-41550-30006-6,144.122.71.200,41550,144.122.71.18,30006,6,2022-06-13 20:42:33.117128,4951,6,0,357.0,0.0,357.0,0.0,59.50000000000001,145.7446396955991,0,0,0,0,72106.64512219754,1211.876388608362,990.2,1443.082187541652,3546.0,72.0,4951.0,990.2,1443.082187541652,3546.0,72.0,0,0,0,0,0,1,0,0,0,0,0,200,0,1211.876388608362,0.0,0.0,357.0,59.50000000000001,145.7446396955991,21241.5,1,1,0,1,5,0,0,0,0.0,59.5,59.5,0.0,0,0,0,0,0,0,1,59,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,4951,NeedManualLabel
144.122.71.200-144.122.71.18-48040-30010-6,144.122.71.200,48040,144.122.71.18,30010,6,2022-06-13 20:42:17.664838,6011,8,0,305.0,0.0,305.0,0.0,38.12500000000001,107.83378413094849,0,0,0,0,50740.30943270671,1330.8933621693561,858.7142857142858,1716.0733972537146,4679.0,12.0,6011.0,858.7142857142858,1716.0733972537146,4679.0,12.0,0,0,0,0,0,1,0,0,0,0,0,264,0,1330.8933621693561,0.0,0.0,305.0,38.12500000000001,107.83378413094849,11628.124999999998,1,1,0,1,7,0,0,0,0.0,38.125,38.125,0.0,0,0,0,0,0,0,1,38,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,6011,NeedManualLabel
144.122.71.200-144.122.171.91-41875-53-17,144.122.71.200,41875,144.122.171.91,53,17,2022-06-13 20:42:22.252430,0,1,0,52.0,0.0,52.0,52.0,52.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,52.0,0.0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.171.91-42605-53-17,144.122.71.200,42605,144.122.171.91,53,17,2022-06-13 20:42:17.546768,0,1,0,52.0,0.0,52.0,52.0,52.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,52.0,0.0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.71.18-48036-30010-6,144.122.71.200,48036,144.122.71.18,30010,6,2022-06-13 20:42:15.987432,3806,5,0,293.0,0.0,293.0,0.0,58.6,131.03358348148768,0,0,0,0,76983.70993168681,1313.7151865475564,951.4999999999999,1281.1777134079928,2869.0,208.0,3806.0,951.4999999999999,1281.1777134079928,2869.0,208.0,0,0,0,0,0,1,0,0,0,0,0,168,0,1313.7151865475564,0.0,0.0,293.0,58.6,131.03358348148768,17169.800000000003,1,1,0,1,4,0,0,0,0.0,58.6,58.6,0.0,0,0,0,0,0,0,1,58,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,3806,NeedManualLabel
144.122.71.200-144.122.171.91-53-59983-17,144.122.71.200,53,144.122.171.91,59983,17,2022-06-13 20:42:33.005218,0,1,0,84.0,0.0,84.0,84.0,84.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,84.0,84.0,84.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,84.0,84.0,0.0,0,0,0,0,0,0,1,84,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.71.18-41524-30006-6,144.122.71.200,41524,144.122.71.18,30006,6,2022-06-13 20:42:11.457411,31355,5,0,532.0,0.0,532.0,0.0,106.4,237.91763280597763,0,0,0,0,16966.990910540582,159.46420028703557,7838.75,14049.114120944898,28894.0,144.0,31355.0,7838.75,14049.114120944898,28894.0,144.0,0,0,0,0,0,1,0,0,0,0,0,168,0,159.46420028703557,0.0,0.0,532.0,106.4,237.91763280597763,56604.80000000001,1,1,0,1,4,0,0,0,0.0,106.4,106.4,0.0,0,0,0,0,0,0,1,106,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,31355,NeedManualLabel
144.122.71.200-144.122.171.91-47407-53-17,144.122.71.200,47407,144.122.171.91,53,17,2022-06-13 20:42:33.004244,0,1,0,52.0,0.0,52.0,52.0,52.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,52.0,0.0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.171.91-53-49671-17,144.122.71.200,53,144.122.171.91,49671,17,2022-06-13 20:42:22.253831,0,1,0,108.0,0.0,108.0,108.0,108.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,108.0,108.0,108.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,108.0,108.0,0.0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.171.91-53-42605-17,144.122.71.200,53,144.122.171.91,42605,17,2022-06-13 20:42:17.547579,0,1,0,108.0,0.0,108.0,108.0,108.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,108.0,108.0,108.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,108.0,108.0,0.0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.171.91-53-50506-17,144.122.71.200,53,144.122.171.91,50506,17,2022-06-13 20:42:30.171489,0,1,0,84.0,0.0,84.0,84.0,84.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,84.0,84.0,84.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,84.0,84.0,0.0,0,0,0,0,0,0,1,84,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
