Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label
144.122.71.200-144.122.171.91-34202-53-17,144.122.71.200,34202,144.122.171.91,53,17,2022-06-13 20:41:34.466296,0,1,0,52.0,0.0,52.0,52.0,52.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,52.0,0.0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.171.91-53-56392-17,144.122.71.200,53,144.122.171.91,56392,17,2022-06-13 20:41:40.361057,0,1,0,108.0,0.0,108.0,108.0,108.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,108.0,108.0,108.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,108.0,108.0,0.0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-172.66.43.44-42266-443-6,144.122.71.200,42266,172.66.43.44,443,6,2022-06-13 20:41:34.466557,85326,14,0,592.0,0.0,289.0,0.0,42.28571428571428,78.31634918361907,0,0,0,0,6938.096242645853,164.0766003328411,6563.538461538462,6457.833313315241,17230.0,8.0,85326.0,6563.538461538462,6457.833313315241,17230.0,8.0,0,0,0,0,0,6,0,0,0,0,0,300,0,164.0766003328411,0.0,0.0,289.0,42.28571428571428,78.31634918361907,6133.450549450551,1,1,0,6,13,0,0,0,0.0,42.285714285714285,42.285714285714285,0.0,592,6,10542,0,0,0,1,42,0,0,64240,0,6,20,0,0,0,0,0,0,0,0,85326,NeedManualLabel
144.122.71.200-144.122.71.18-41508-30006-6,144.122.71.200,41508,144.122.71.18,30006,6,2022-06-13 20:41:47.367265,38067,5,0,530.0,0.0,530.0,0.0,106.0,237.0232056149777,0,0,0,0,13922.820290540365,131.34736123151288,9516.75,18322.861027961764,36997.0,130.0,38067.0,9516.75,18322.861027961764,36997.0,130.0,0,0,0,0,0,1,0,0,0,0,0,168,0,131.34736123151288,0.0,0.0,530.0,106.0,237.0232056149777,56180.0,1,1,0,1,4,0,0,0,0.0,106.0,106.0,0.0,0,0,0,0,0,0,1,106,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,38067,NeedManualLabel
144.122.71.200-144.122.171.91-33954-53-17,144.122.71.200,33954,144.122.171.91,53,17,2022-06-13 20:41:52.888483,0,1,0,52.0,0.0,52.0,52.0,52.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,52.0,0.0,0,0,0,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-172.66.43.44-42286-443-6,144.122.71.200,42286,172.66.43.44,443,6,2022-06-13 20:41:57.104560,100902,14,0,557.0,0.0,289.0,0.0,39.785714285714285,79.12130761483482,0,0,0,0,5520.207726308695,138.74848863253453,7761.6923076923085,8336.374905443166,22389.0,27.0,100902.0,7761.6923076923085,8336.374905443166,22389.0,27.0,0,0,0,0,0,5,0,0,0,0,0,300,0,138.74848863253453,0.0,0.0,289.0,39.785714285714285,79.12130761483482,6260.181318681319,1,1,0,5,13,0,0,0,0.0,39.785714285714285,39.785714285714285,0.0,557,5,11439,0,0,0,1,39,0,0,64240,0,5,20,0,0,0,0,0,0,0,0,100902,NeedManualLabel
144.122.71.200-172.66.43.44-42274-443-6,144.122.71.200,42274,172.66.43.44,443,6,2022-06-13 20:41:47.277449,150562,14,0,592.0,0.0,289.0,0.0,42.28571428571428,78.31634918361907,0,0,0,0,3931.9350168037085,92.98494972170933,11581.692307692307,13350.312270908467,43202.0,12.0,150562.0,11581.692307692307,13350.312270908467,43202.0,12.0,0,0,0,0,0,6,0,0,0,0,0,300,0,92.98494972170933,0.0,0.0,289.0,42.28571428571428,78.31634918361907,6133.450549450551,1,1,0,6,13,0,0,0,0.0,42.285714285714285,42.285714285714285,0.0,592,6,7717,0,0,0,1,42,0,0,64240,0,6,20,0,0,0,0,0,0,0,0,150562,NeedManualLabel
144.122.71.200-144.122.71.18-48006-30010-6,144.122.71.200,48006,144.122.71.18,30010,6,2022-06-13 20:41:34.537465,2832,5,0,304.0,0.0,304.0,0.0,60.8,135.95293303198721,0,0,0,0,107344.63276836158,1765.5367231638418,708.0,926.8660456973632,2092.0,128.0,2832.0,708.0,926.8660456973632,2092.0,128.0,0,0,0,0,0,1,0,0,0,0,0,168,0,1765.5367231638418,0.0,0.0,304.0,60.8,135.95293303198721,18483.2,1,1,0,1,4,0,0,0,0.0,60.8,60.8,0.0,0,0,0,0,0,0,1,60,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,2832,NeedManualLabel
144.122.71.200-144.122.171.91-53-50232-17,144.122.71.200,53,144.122.171.91,50232,17,2022-06-13 20:41:40.361054,0,1,0,84.0,0.0,84.0,84.0,84.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,84.0,84.0,84.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,84.0,84.0,0.0,0,0,0,0,0,0,1,84,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
144.122.71.200-144.122.171.91-53-42970-17,144.122.71.200,53,144.122.171.91,42970,17,2022-06-13 20:41:47.278130,0,1,0,108.0,0.0,108.0,108.0,108.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,108.0,108.0,108.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,108.0,108.0,0.0,0,0,0,0,0,0,1,108,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
